periode,raum,bezirk_code,bezirk_text,gemeinde_code,gemeinde_text,anzahl_zimmer,beobachtungen,schatzwert,schatzbereich_von,schatzbereich_bis,vi_absolut,genauigkeit
2010/2014,BL,1304,Bezirk Sissach,2849,Itingen,1-2,9.0,1051.9704273007128,937.5355509025698,1166.4053036988557,114.434876398143,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2849,Itingen,3,15.0,1267.191043090892,1148.197945001022,1386.184141180762,118.99309808987003,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2849,Itingen,4,33.0,1541.5563574675448,1416.3964242641875,1666.716290670902,125.15993320335728,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2849,Itingen,5+,14.0,2555.1939647091945,1951.0335373694297,3159.354392048959,604.1604273397649,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2861,Sissach,1-2,48.0,1024.3963439359864,952.4960455488037,1096.296642323169,71.90029838718254,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2861,Sissach,3,117.0,1276.302189244998,1206.073892707859,1346.5304857821372,70.22829653713916,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2861,Sissach,4,156.0,1618.6329973219233,1561.0019488586229,1676.2640457852237,57.631048463300395,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2861,Sissach,5+,35.0,2076.5532534639588,1892.902551215183,2260.2039557127346,183.65070224877587,Schätzwert bedingt zuverlässig
2010/2014,BL,1305,Bezirk Waldenburg,2895,Waldenburg,1-2,12.0,951.0466155638927,832.8431055429863,1069.2501255847992,118.2035100209064,Schätzwert bedingt zuverlässig
2010/2014,BL,1305,Bezirk Waldenburg,2895,Waldenburg,3,13.0,1099.245208219173,1006.6032850153114,1191.8871314230346,92.64192320386167,Schätzwert bedingt zuverlässig
2010/2014,BL,1305,Bezirk Waldenburg,2895,Waldenburg,4,19.0,1210.7124646540162,1071.8828743349484,1349.542054973084,138.8295903190678,Schätzwert bedingt zuverlässig
2010/2014,BL,1305,Bezirk Waldenburg,2895,Waldenburg,5+,7.0,1750.871442618863,1343.8968658204376,2157.8460194172885,406.9745767984254,Schätzwert bedingt zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2763,Arlesheim,Total,598.0,1483.1575384750133,1438.6885554010883,1527.6265215489384,44.46898307392509,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2770,Muttenz,Total,1123.0,1362.2919186590302,1335.9064599577193,1388.677377360341,26.38545870131093,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2821,Arisdorf,Total,33.0,1492.762047163475,1362.1380811643355,1623.3860131626145,130.62396599913944,Schätzwert bedingt zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2822,Augst,Total,38.0,1397.6236808939434,1232.2827754553025,1562.9645863325843,165.34090543864093,Schätzwert bedingt zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2829,Liestal,Total,848.0,1321.588942859754,1291.9997066768997,1351.1781790426085,29.589236182854386,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2841,Anwil,Total,10.0,1273.541876066167,1041.9899742470302,1505.093777885304,231.5519018191368,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2849,Itingen,Total,64.0,1386.8300826442392,1291.0036809871276,1482.6564843013507,95.82640165711152,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2861,Sissach,Total,351.0,1454.232680290844,1403.7096016004002,1504.7557589812877,50.523078690443654,Schätzwert zuverlässig
