jahr,quartal,gemeinde_nummer,gemeinde,bezirk_nummer,bezirk,anfangsbestand,geburten,todesfaelle,geburtenueberschuss,zuzuege,wegzuege,wanderungssaldo,bereinigung_saldo,gesamtveraenderung,endbestand
2024,2,2895,Waldenburg,1305,Bezirk Waldenburg,1165,3,2,1,32,28,4,0,5,1170
2024,1,2763,Arlesheim,1301,Bezirk Arlesheim,9428,11,25,-14,108,143,-35,0,-49,9379
2024,1,2770,Muttenz,1301,Bezirk Arlesheim,18343,35,44,-9,244,210,34,0,25,18368
2024,1,2821,Arisdorf,1303,Bezirk Liestal,1755,3,6,-3,37,20,17,0,14,1769
2024,1,2822,Augst,1303,Bezirk Liestal,1112,2,3,-1,24,31,-7,0,-8,1104
2024,1,2829,Liestal,1303,Bezirk Liestal,15902,41,43,-2,362,278,84,0,82,15984
2024,1,2841,Anwil,1304,Bezirk Sissach,544,2,0,2,7,7,0,0,2,546
2024,1,2849,Itingen,1304,Bezirk Sissach,2441,11,6,5,65,25,40,0,45,2486
2024,1,2861,Sissach,1304,Bezirk Sissach,6891,23,20,3,103,110,-7,0,-4,6887
2024,1,2895,Waldenburg,1305,Bezirk Waldenburg,1155,0,2,-2,40,28,12,0,10,1165
2023,4,2763,Arlesheim,1301,Bezirk Arlesheim,9411,15,31,-16,157,124,33,0,17,9428
2023,4,2770,Muttenz,1301,Bezirk Arlesheim,18326,37,57,-20,260,223,37,0,17,18343
2023,4,2821,Arisdorf,1303,Bezirk Liestal,1732,0,3,-3,50,24,26,0,23,1755
2023,4,2822,Augst,1303,Bezirk Liestal,1097,0,1,-1,39,23,16,0,15,1112
2023,4,2829,Liestal,1303,Bezirk Liestal,15924,37,46,-9,328,341,-13,0,-22,15902
2023,4,2841,Anwil,1304,Bezirk Sissach,543,0,1,-1,4,2,2,0,1,544
2023,4,2849,Itingen,1304,Bezirk Sissach,2431,2,2,0,53,43,10,0,10,2441
2023,4,2861,Sissach,1304,Bezirk Sissach,6894,13,20,-7,126,122,4,0,-3,6891
2023,4,2895,Waldenburg,1305,Bezirk Waldenburg,1153,1,3,-2,28,24,4,0,2,1155
2023,3,2763,Arlesheim,1301,Bezirk Arlesheim,9425,17,27,-10,142,146,-4,0,-14,9411
2023,3,2770,Muttenz,1301,Bezirk Arlesheim,18250,28,37,-9,335,250,85,0,76,18326
2023,3,2821,Arisdorf,1303,Bezirk Liestal,1725,1,3,-2,35,26,9,0,7,1732
2023,3,2822,Augst,1303,Bezirk Liestal,1091,6,4,2,33,29,4,0,6,1097
2023,3,2829,Liestal,1303,Bezirk Liestal,15867,38,38,0,396,339,57,0,57,15924
2023,3,2841,Anwil,1304,Bezirk Sissach,545,1,0,1,6,9,-3,0,-2,543
2023,3,2849,Itingen,1304,Bezirk Sissach,2401,10,1,9,65,44,21,0,30,2431
2023,3,2861,Sissach,1304,Bezirk Sissach,6902,13,15,-2,145,151,-6,0,-8,6894
2023,3,2895,Waldenburg,1305,Bezirk Waldenburg,1135,4,3,1,64,47,17,0,18,1153
2023,2,2763,Arlesheim,1301,Bezirk Arlesheim,9382,11,20,-9,180,128,52,0,43,9425
2023,2,2770,Muttenz,1301,Bezirk Arlesheim,18189,42,43,-1,278,216,62,0,61,18250
2023,2,2821,Arisdorf,1303,Bezirk Liestal,1736,3,1,2,15,28,-13,0,-11,1725
2023,2,2822,Augst,1303,Bezirk Liestal,1086,2,0,2,34,31,3,0,5,1091
2023,2,2829,Liestal,1303,Bezirk Liestal,15731,39,27,12,425,299,126,-2,136,15867
2023,2,2841,Anwil,1304,Bezirk Sissach,539,4,1,3,12,9,3,0,6,545
2023,2,2849,Itingen,1304,Bezirk Sissach,2384,5,7,-2,66,47,19,0,17,2401
2023,2,2861,Sissach,1304,Bezirk Sissach,6857,14,17,-3,173,125,48,0,45,6902
