jahr,bfs_nummer,gemeinde,indikator,wert
2016,2841,Anwil,Steuerbares_Einkommen_CHF,19573306.0
2015,2821,Arisdorf,Anzahl_Steuerpflichtige,982.0
2015,2861,Sissach,Anzahl_Steuerpflichtige,4116.0
2015,2895,Waldenburg,Anzahl_Steuerpflichtige,758.0
2015,2763,Arlesheim,Steuerbares_Einkommen_CHF,496739455.0
2015,2770,Muttenz,Steuerbares_Einkommen_CHF,728667174.0
2015,2821,Arisdorf,Steuerbares_Einkommen_CHF,68050162.0
2015,2822,Augst,Steuerbares_Einkommen_CHF,39023407.0
2015,2849,Itingen,Steuerbares_Einkommen_CHF,73285644.0
2015,2895,Waldenburg,Steuerbares_Einkommen_CHF,35681346.0
2014,2763,Arlesheim,Anzahl_Steuerpflichtige,5821.0
2014,2821,Arisdorf,Anzahl_Steuerpflichtige,967.0
2014,2822,Augst,Anzahl_Steuerpflichtige,561.0
2014,2763,Arlesheim,Steuerbares_Einkommen_CHF,496718823.0
2014,2770,Muttenz,Steuerbares_Einkommen_CHF,727948773.0
2014,2895,Waldenburg,Steuerbares_Einkommen_CHF,37195116.0
2022,2763,Arlesheim,Anzahl_Steuerpflichtige,5988.0
2022,2770,Muttenz,Anzahl_Steuerpflichtige,11079.0
2022,2822,Augst,Anzahl_Steuerpflichtige,687.0
2022,2895,Waldenburg,Anzahl_Steuerpflichtige,721.0
2022,2849,Itingen,Steuerbares_Einkommen_CHF,90050201.0
2022,2895,Waldenburg,Steuerbares_Einkommen_CHF,35829406.0
2021,2770,Muttenz,Steuerbares_Einkommen_CHF,774673840.0
2021,2822,Augst,Steuerbares_Einkommen_CHF,43347533.0
2021,2841,Anwil,Steuerbares_Einkommen_CHF,19697088.0
2021,2849,Itingen,Steuerbares_Einkommen_CHF,85701337.0
2021,2861,Sissach,Steuerbares_Einkommen_CHF,297116364.0
2020,2821,Arisdorf,Anzahl_Steuerpflichtige,1057.0
2020,2822,Augst,Anzahl_Steuerpflichtige,675.0
2020,2861,Sissach,Anzahl_Steuerpflichtige,4216.0
2020,2829,Liestal,Steuerbares_Einkommen_CHF,563618600.0
2020,2861,Sissach,Steuerbares_Einkommen_CHF,287666961.0
2020,2895,Waldenburg,Steuerbares_Einkommen_CHF,36677839.0
2018,2770,Muttenz,Steuerbares_Einkommen_CHF,755918817.0
2018,2822,Augst,Steuerbares_Einkommen_CHF,43097304.0
2018,2849,Itingen,Steuerbares_Einkommen_CHF,77294202.0
2018,2895,Waldenburg,Steuerbares_Einkommen_CHF,34989228.0
2017,2763,Arlesheim,Anzahl_Steuerpflichtige,5763.0
2017,2770,Muttenz,Anzahl_Steuerpflichtige,11001.0
2017,2821,Arisdorf,Anzahl_Steuerpflichtige,971.0
2017,2822,Augst,Anzahl_Steuerpflichtige,645.0
2017,2829,Liestal,Anzahl_Steuerpflichtige,8749.0
2017,2841,Anwil,Anzahl_Steuerpflichtige,335.0
2017,2849,Itingen,Anzahl_Steuerpflichtige,1175.0
2017,2861,Sissach,Anzahl_Steuerpflichtige,4091.0
2017,2895,Waldenburg,Anzahl_Steuerpflichtige,733.0
2017,2763,Arlesheim,Steuerbares_Einkommen_CHF,501483957.0
2017,2770,Muttenz,Steuerbares_Einkommen_CHF,747652949.0
2017,2821,Arisdorf,Steuerbares_Einkommen_CHF,69512272.0
2017,2822,Augst,Steuerbares_Einkommen_CHF,44048717.0
2017,2829,Liestal,Steuerbares_Einkommen_CHF,560044677.0
2017,2841,Anwil,Steuerbares_Einkommen_CHF,18906350.0
2017,2849,Itingen,Steuerbares_Einkommen_CHF,76853016.0
2017,2861,Sissach,Steuerbares_Einkommen_CHF,279909678.0
2017,2895,Waldenburg,Steuerbares_Einkommen_CHF,36028458.0
2016,2829,Liestal,Anzahl_Steuerpflichtige,8670.0
2016,2849,Itingen,Anzahl_Steuerpflichtige,1185.0
2016,2861,Sissach,Anzahl_Steuerpflichtige,4169.0
2016,2770,Muttenz,Steuerbares_Einkommen_CHF,744187984.0
2016,2821,Arisdorf,Steuerbares_Einkommen_CHF,68597107.0
2016,2822,Augst,Steuerbares_Einkommen_CHF,42375444.0
2016,2829,Liestal,Steuerbares_Einkommen_CHF,544388031.0
2016,2849,Itingen,Steuerbares_Einkommen_CHF,76399491.0
2016,2861,Sissach,Steuerbares_Einkommen_CHF,283215446.0
2016,2895,Waldenburg,Steuerbares_Einkommen_CHF,36473856.0
2015,2763,Arlesheim,Anzahl_Steuerpflichtige,5879.0
2015,2770,Muttenz,Anzahl_Steuerpflichtige,10934.0
2015,2822,Augst,Anzahl_Steuerpflichtige,622.0
2015,2829,Liestal,Anzahl_Steuerpflichtige,8669.0
2015,2841,Anwil,Anzahl_Steuerpflichtige,332.0
2015,2849,Itingen,Anzahl_Steuerpflichtige,1168.0
2015,2829,Liestal,Steuerbares_Einkommen_CHF,522039808.0
2015,2841,Anwil,Steuerbares_Einkommen_CHF,18865555.0
2015,2861,Sissach,Steuerbares_Einkommen_CHF,272726509.0
2014,2770,Muttenz,Anzahl_Steuerpflichtige,10916.0
2014,2829,Liestal,Anzahl_Steuerpflichtige,8586.0
2014,2841,Anwil,Anzahl_Steuerpflichtige,326.0
2014,2849,Itingen,Anzahl_Steuerpflichtige,1188.0
2013,2763,Arlesheim,Anzahl_Steuerpflichtige,5779.0
2013,2821,Arisdorf,Anzahl_Steuerpflichtige,959.0
2013,2763,Arlesheim,Steuerbares_Einkommen_CHF,477755096.0
2013,2822,Augst,Steuerbares_Einkommen_CHF,35491408.0
2013,2829,Liestal,Steuerbares_Einkommen_CHF,507989802.0
2013,2849,Itingen,Steuerbares_Einkommen_CHF,74430306.0
2022,2841,Anwil,Anzahl_Steuerpflichtige,314.0
