jahr,bfs_nummer,gemeinde,indikator,wert
2025,2763,Arlesheim,Steuerfuss_Ertrag_juristische_Personen_Prozent,50.0
2025,2763,Arlesheim,Steuerfuss_Kapital_juristische_Personen_Prozent,50.0
2025,2763,Arlesheim,Steuerfuss_natürliche_Personen_Prozent,47.0
2025,2770,Muttenz,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2025,2770,Muttenz,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2025,2770,Muttenz,Steuerfuss_natürliche_Personen_Prozent,56.0
2025,2821,Arisdorf,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2025,2821,Arisdorf,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2025,2821,Arisdorf,Steuerfuss_natürliche_Personen_Prozent,59.0
2025,2822,Augst,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2025,2822,Augst,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2025,2822,Augst,Steuerfuss_natürliche_Personen_Prozent,53.0
2025,2829,Liestal,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2025,2829,Liestal,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2025,2829,Liestal,Steuerfuss_natürliche_Personen_Prozent,65.0
2025,2841,Anwil,Steuerfuss_Ertrag_juristische_Personen_Prozent,40.0
2025,2841,Anwil,Steuerfuss_Kapital_juristische_Personen_Prozent,50.0
2025,2841,Anwil,Steuerfuss_natürliche_Personen_Prozent,60.0
2025,2849,Itingen,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2025,2849,Itingen,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2025,2849,Itingen,Steuerfuss_natürliche_Personen_Prozent,63.0
2025,2861,Sissach,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2025,2861,Sissach,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2025,2861,Sissach,Steuerfuss_natürliche_Personen_Prozent,57.0
2025,2895,Waldenburg,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2025,2895,Waldenburg,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2025,2895,Waldenburg,Steuerfuss_natürliche_Personen_Prozent,72.0
2024,2763,Arlesheim,Steuerfuss_Ertrag_juristische_Personen_Prozent,50.0
2024,2763,Arlesheim,Steuerfuss_Kapital_juristische_Personen_Prozent,50.0
2024,2763,Arlesheim,Steuerfuss_natürliche_Personen_Prozent,47.0
2024,2770,Muttenz,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2024,2770,Muttenz,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2024,2770,Muttenz,Steuerfuss_natürliche_Personen_Prozent,56.0
2024,2821,Arisdorf,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2024,2821,Arisdorf,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2024,2821,Arisdorf,Steuerfuss_natürliche_Personen_Prozent,59.0
2024,2822,Augst,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2024,2822,Augst,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2024,2822,Augst,Steuerfuss_natürliche_Personen_Prozent,53.0
2024,2829,Liestal,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2024,2829,Liestal,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2024,2829,Liestal,Steuerfuss_natürliche_Personen_Prozent,65.0
2024,2841,Anwil,Steuerfuss_Ertrag_juristische_Personen_Prozent,40.0
2024,2841,Anwil,Steuerfuss_Kapital_juristische_Personen_Prozent,50.0
2024,2841,Anwil,Steuerfuss_natürliche_Personen_Prozent,60.0
2024,2849,Itingen,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2024,2849,Itingen,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2024,2849,Itingen,Steuerfuss_natürliche_Personen_Prozent,63.0
2024,2861,Sissach,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2024,2861,Sissach,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2024,2861,Sissach,Steuerfuss_natürliche_Personen_Prozent,57.0
2024,2895,Waldenburg,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2024,2895,Waldenburg,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2024,2895,Waldenburg,Steuerfuss_natürliche_Personen_Prozent,69.5
2023,2763,Arlesheim,Steuerfuss_Ertrag_juristische_Personen_Prozent,50.0
2023,2763,Arlesheim,Steuerfuss_Kapital_juristische_Personen_Prozent,50.0
2023,2763,Arlesheim,Steuerfuss_natürliche_Personen_Prozent,47.0
2023,2770,Muttenz,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2023,2770,Muttenz,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2023,2770,Muttenz,Steuerfuss_natürliche_Personen_Prozent,56.0
2023,2821,Arisdorf,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2023,2821,Arisdorf,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2023,2821,Arisdorf,Steuerfuss_natürliche_Personen_Prozent,59.0
2023,2822,Augst,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2023,2822,Augst,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2023,2822,Augst,Steuerfuss_natürliche_Personen_Prozent,53.0
2023,2829,Liestal,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2023,2829,Liestal,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2023,2829,Liestal,Steuerfuss_natürliche_Personen_Prozent,65.0
2023,2841,Anwil,Steuerfuss_Ertrag_juristische_Personen_Prozent,40.0
2023,2841,Anwil,Steuerfuss_Kapital_juristische_Personen_Prozent,50.0
2023,2841,Anwil,Steuerfuss_natürliche_Personen_Prozent,60.0
2023,2849,Itingen,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2023,2849,Itingen,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2023,2849,Itingen,Steuerfuss_natürliche_Personen_Prozent,63.0
2023,2861,Sissach,Steuerfuss_Ertrag_juristische_Personen_Prozent,55.0
2023,2861,Sissach,Steuerfuss_Kapital_juristische_Personen_Prozent,55.0
2023,2861,Sissach,Steuerfuss_natürliche_Personen_Prozent,57.0
2023,2895,Waldenburg,Steuerfuss_Ertrag_juristische_Personen_Prozent,52.0
2023,2895,Waldenburg,Steuerfuss_Kapital_juristische_Personen_Prozent,52.0
2023,2895,Waldenburg,Steuerfuss_natürliche_Personen_Prozent,69.5
2022,2763,Arlesheim,Steuerfuss_natürliche_Personen_Prozent,47.0
2022,2763,Arlesheim,Steuersatz_Ertrag_juristische_Personen_Prozent,4.0
2022,2763,Arlesheim,Steuersatz_Kapital_juristische_Personen_Promille,0.55
2022,2770,Muttenz,Steuerfuss_natürliche_Personen_Prozent,56.0
2022,2770,Muttenz,Steuersatz_Ertrag_juristische_Personen_Prozent,5.0
2022,2770,Muttenz,Steuersatz_Kapital_juristische_Personen_Promille,0.55
2022,2821,Arisdorf,Steuerfuss_natürliche_Personen_Prozent,59.0
2022,2821,Arisdorf,Steuersatz_Ertrag_juristische_Personen_Prozent,4.5
2022,2821,Arisdorf,Steuersatz_Kapital_juristische_Personen_Promille,0.55
2022,2822,Augst,Steuerfuss_natürliche_Personen_Prozent,53.0
2022,2822,Augst,Steuersatz_Ertrag_juristische_Personen_Prozent,4.2
2022,2822,Augst,Steuersatz_Kapital_juristische_Personen_Promille,0.55
2022,2829,Liestal,Steuerfuss_natürliche_Personen_Prozent,65.0
2022,2829,Liestal,Steuersatz_Ertrag_juristische_Personen_Prozent,5.0
2022,2829,Liestal,Steuersatz_Kapital_juristische_Personen_Promille,0.55
2022,2841,Anwil,Steuerfuss_natürliche_Personen_Prozent,60.0
2022,2841,Anwil,Steuersatz_Ertrag_juristische_Personen_Prozent,2.75
2022,2841,Anwil,Steuersatz_Kapital_juristische_Personen_Promille,0.55
2022,2849,Itingen,Steuerfuss_natürliche_Personen_Prozent,63.0
2022,2849,Itingen,Steuersatz_Ertrag_juristische_Personen_Prozent,4.2
2022,2849,Itingen,Steuersatz_Kapital_juristische_Personen_Promille,0.55
2022,2861,Sissach,Steuerfuss_natürliche_Personen_Prozent,57.0
2022,2861,Sissach,Steuersatz_Ertrag_juristische_Personen_Prozent,4.0
2022,2861,Sissach,Steuersatz_Kapital_juristische_Personen_Promille,0.55
2022,2895,Waldenburg,Steuerfuss_natürliche_Personen_Prozent,69.5
2022,2895,Waldenburg,Steuersatz_Ertrag_juristische_Personen_Prozent,4.75
2022,2895,Waldenburg,Steuersatz_Kapital_juristische_Personen_Promille,0.55
2021,2763,Arlesheim,Steuerfuss_natürliche_Personen_Prozent,45.0
2021,2763,Arlesheim,Steuersatz_Ertrag_juristische_Personen_Prozent,4.0
