jahr,gemeinde_nummer,gemeinde,bfs_bezirk,bezirk,nationalitaet_code,nationalitaet,anzahl_personen
1984,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,47
1984,2822,Augst,1303,Bezirk Liestal,1,Schweiz,728
1984,2822,Augst,1303,Bezirk Liestal,2,Ausland,147
1984,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9182
1984,2829,Liestal,1303,Bezirk Liestal,2,Ausland,2495
1984,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,310
1984,2841,Anwil,1304,Bezirk Sissach,2,Ausland,5
1984,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1101
1984,2849,Itingen,1304,Bezirk Sissach,2,Ausland,117
1984,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4077
1984,2861,Sissach,1304,Bezirk Sissach,2,Ausland,685
1984,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,1048
1984,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,177
1985,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6863
1985,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1679
1985,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14868
1985,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2355
1985,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1026
1985,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,44
1985,2822,Augst,1303,Bezirk Liestal,1,Schweiz,706
1985,2822,Augst,1303,Bezirk Liestal,2,Ausland,157
1985,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9238
1985,2829,Liestal,1303,Bezirk Liestal,2,Ausland,2510
1985,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,321
1985,2841,Anwil,1304,Bezirk Sissach,2,Ausland,6
1985,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1175
1985,2849,Itingen,1304,Bezirk Sissach,2,Ausland,137
1985,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4141
1985,2861,Sissach,1304,Bezirk Sissach,2,Ausland,691
1985,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,1025
1985,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,185
1986,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6856
1986,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1676
1986,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14912
1986,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2398
1986,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1046
1986,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,47
1986,2822,Augst,1303,Bezirk Liestal,1,Schweiz,715
1986,2822,Augst,1303,Bezirk Liestal,2,Ausland,144
1986,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9270
1986,2829,Liestal,1303,Bezirk Liestal,2,Ausland,2602
1986,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,330
1986,2841,Anwil,1304,Bezirk Sissach,2,Ausland,6
1986,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1230
1986,2849,Itingen,1304,Bezirk Sissach,2,Ausland,138
1986,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4231
1986,2861,Sissach,1304,Bezirk Sissach,2,Ausland,699
1986,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,990
1986,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,206
1987,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6851
1987,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1686
1987,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14847
1987,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2468
1987,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1048
