jahr,bfs_nummer,gemeinde,ds10060_1_person,ds10060_2_personen,ds10060_3_personen,ds10060_4_personen,ds10060_5_personen,ds10060_6_oder_mehr_personen,ds10080_ausland,ds10080_schweiz,ds10180_anzahl,ds10200_falle,ds10200_flache_in_m2,ds10200_quadratmeterpreis_chf,ds10230_neu_erstellte_wohnungen,ds10580_steuerfuss_ertrag_juristische_personen_prozent,ds10580_steuerfuss_kapital_juristische_personen_prozent,ds10580_steuerfuss_natuerliche_personen_prozent,ds10580_steuersatz_ertrag_juristische_personen_prozent,ds10580_steuersatz_kapital_juristische_personen_promille,ds10630_anzahl_steuerpflichtige,ds10630_steuerbares_einkommen_chf,ds10680_anfangsbestand,ds10680_geburten,ds10680_todesfaelle,ds10680_zuzuege,ds10680_wegzuege,ds10680_wanderungssaldo,ds10680_endbestand,ds12070_falle,ds12070_flache_in_m2,ds12070_quadratmeterpreis_chf,ds12880_anzahl_bewilligungen,ds12900_anzahl_bauprojekte,ds13010_1_2,ds13010_3,ds13010_4,ds13010_5plus,ds13010_total,ds13030_andere_situation_unbekannt,ds13030_genossenschafter_innen,ds13030_hauseigentuemer_innen,ds13030_mieter_innen_oder_untermieter_innen,ds13030_stockwerk_wohnungseigentuemer_innen,ds13030_total
2010,2761,Aesch,0.0,0.0,0.0,0.0,0.0,0.0,2353.0,7874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40894,87,60,732,739,85,40914,0.0,0.0,0.0,74.0,71.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2011,2761,Aesch,0.0,0.0,0.0,0.0,0.0,0.0,2375.0,7920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41149,95,69,789,758,105,41206,0.0,0.0,0.0,71.0,77.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2012,2761,Aesch,1317.0,1685.0,642.0,590.0,152.0,56.0,2385.0,7939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41313,82,73,743,791,124,41273,0.0,0.0,0.0,58.0,54.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2013,2761,Aesch,1320.0,1659.0,653.0,584.0,157.0,56.0,2403.0,7879.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41130,89,86,770,776,106,41128,0.0,0.0,0.0,49.0,49.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2014,2761,Aesch,1308.0,1641.0,696.0,549.0,157.0,55.0,2439.0,7831.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41100,70,85,678,701,61,41062,0.0,0.0,0.0,43.0,49.0,915.924131800659,1329.4115787239214,1644.7773318474983,2135.577993148387,1419.9320261204916,127.2045643832,43.2916761572,1461.6278347419,2366.0702269903,484.3123175622,4482.5066198348
2015,2761,Aesch,1350.0,1681.0,654.0,561.0,148.0,53.0,2454.0,7776.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40905,91,72,745,739,102,40930,0.0,0.0,0.0,54.0,50.0,984.6266733169756,1298.8538621948674,1613.7124899709947,1978.1308536061376,1417.6280408139507,92.8402742828,0.0,1352.866639011,2578.942246152,544.35232457,4582.4128050129
2016,2761,Aesch,1395.0,1674.0,666.0,572.0,138.0,54.0,2481.0,7716.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40803,84,76,713,749,150,40775,0.0,0.0,0.0,50.0,53.0,984.6266733169756,1298.8538621948674,1613.7124899709947,1978.1308536061376,1417.6280408139507,92.8402742828,0.0,1352.866639011,2578.942246152,544.35232457,4582.4128050129
2017,2761,Aesch,1451.0,1689.0,661.0,575.0,146.0,44.0,2517.0,7762.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41085,81,87,730,666,70,41143,0.0,0.0,0.0,55.0,53.0,984.6266733169756,1298.8538621948674,1613.7124899709947,1978.1308536061376,1417.6280408139507,92.8402742828,0.0,1352.866639011,2578.942246152,544.35232457,4582.4128050129
2018,2761,Aesch,1456.0,1721.0,634.0,602.0,155.0,40.0,2566.0,7769.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41278,98,76,821,724,97,41397,0.0,0.0,0.0,43.0,41.0,984.6266733169756,1298.8538621948674,1613.7124899709947,1978.1308536061376,1417.6280408139507,92.8402742828,0.0,1352.866639011,2578.942246152,544.35232457,4582.4128050129
2019,2761,Aesch,1500.0,1746.0,627.0,581.0,153.0,46.0,2639.0,7767.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41610,68,83,847,802,97,41640,0.0,0.0,0.0,32.0,33.0,984.6266733169756,1298.8538621948674,1613.7124899709947,1978.1308536061376,1417.6280408139507,92.8402742828,0.0,1352.866639011,2578.942246152,544.35232457,4582.4128050129
2020,2761,Aesch,1510.0,1699.0,628.0,600.0,152.0,42.0,2710.0,7698.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41671,83,108,745,804,105,41587,0.0,0.0,0.0,30.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2761,Aesch,1575.0,1703.0,653.0,614.0,152.0,39.0,2716.0,7707.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41568,108,99,987,754,237,41810,0.0,0.0,0.0,67.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2761,Aesch,1606.0,1687.0,658.0,627.0,155.0,40.0,2829.0,7839.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42607,78,93,855,712,143,42735,0.0,0.0,0.0,40.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2761,Aesch,1622.0,1708.0,668.0,634.0,160.0,41.0,2917.0,7880.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43125,100,75,816,715,101,43251,0.0,0.0,0.0,46.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2761,Aesch,1769.0,1757.0,693.0,644.0,164.0,37.0,3031.0,7906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43543,75,110,1197,757,476,43948,0.0,0.0,0.0,44.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2761,Aesch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33970,82,79,796,627,169,34142,0.0,0.0,0.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2762,Allschwil,0.0,0.0,0.0,0.0,0.0,0.0,4127.0,15113.0,0.0,35.0,9700.0,1123.0,189.0,0.0,0.0,58.0,5.0,3.5,0.0,0.0,76853,195,165,1600,1412,304,77070,37.0,17800.0,847.0,99.0,99.0,989.8066383325312,1325.762036669153,1712.123463937414,2210.045035774,1397.5308978338187,177.5943124932,276.5259750741,1960.1014180284,6318.4826603127,955.1568556617,9687.8612215701
2011,2762,Allschwil,0.0,0.0,0.0,0.0,0.0,0.0,4392.0,15273.0,0.0,37.0,9100.0,1162.0,285.0,0.0,0.0,58.0,5.0,2.75,0.0,0.0,78421,212,211,1838,1361,477,78898,40.0,14300.0,1066.0,93.0,93.0,989.8066383325312,1325.762036669153,1712.123463937414,2210.045035774,1397.5308978338187,177.5943124932,276.5259750741,1960.1014180284,6318.4826603127,955.1568556617,9687.8612215701
2012,2762,Allschwil,3689.0,3455.0,1209.0,952.0,237.0,68.0,4628.0,15281.0,0.0,28.0,7800.0,1287.0,67.0,0.0,0.0,58.0,5.0,2.75,0.0,0.0,79607,212,200,1496,1454,196,79660,29.0,7900.0,1284.0,77.0,79.0,989.8066383325312,1325.762036669153,1712.123463937414,2210.045035774,1397.5308978338187,177.5943124932,276.5259750741,1960.1014180284,6318.4826603127,955.1568556617,9687.8612215701
2013,2762,Allschwil,3669.0,3487.0,1203.0,971.0,261.0,83.0,4845.0,15319.0,151.0,18.0,4600.0,1149.0,41.0,0.0,0.0,58.0,5.0,2.75,12750.0,825888935.0,80466,214,186,1618,1266,352,80846,19.0,4700.0,1149.0,88.0,84.0,989.8066383325312,1325.762036669153,1712.123463937414,2210.045035774,1397.5308978338187,177.5943124932,276.5259750741,1960.1014180284,6318.4826603127,955.1568556617,9687.8612215701
2014,2762,Allschwil,3637.0,3486.0,1201.0,1011.0,281.0,73.0,5064.0,15342.0,167.0,16.0,7300.0,1079.0,56.0,0.0,0.0,58.0,5.0,2.75,12819.0,847912686.0,81561,220,167,1381,1304,87,81691,21.0,34200.0,1351.0,72.0,65.0,989.8066383325312,1325.762036669153,1712.123463937414,2210.045035774,1397.5308978338187,177.5943124932,276.5259750741,1960.1014180284,6318.4826603127,955.1568556617,9687.8612215701
2015,2762,Allschwil,3671.0,3494.0,1243.0,988.0,284.0,65.0,5264.0,15256.0,174.0,10.0,4400.0,1257.0,123.0,0.0,0.0,58.0,5.0,2.75,12844.0,861501949.0,82040,193,215,1481,1383,98,82116,11.0,7400.0,1090.0,70.0,77.0,1012.3978946669366,1340.632919034112,1668.022657078881,2170.2677893405776,1386.3909799190794,129.0221061162,317.9436707456,1988.716327489,6751.9743495374,953.0086552709,10140.6651091591
2016,2762,Allschwil,3732.0,3487.0,1252.0,1025.0,286.0,63.0,5427.0,15202.0,148.0,5.0,3400.0,1635.0,276.0,0.0,0.0,58.0,5.0,2.75,12917.0,878726023.0,82413,247,187,1564,1422,196,82615,5.0,3400.0,1635.0,78.0,70.0,1012.3978946669366,1340.632919034112,1668.022657078881,2170.2677893405776,1386.3909799190794,129.0221061162,317.9436707456,1988.716327489,6751.9743495374,953.0086552709,10140.6651091591
2017,2762,Allschwil,3857.0,3536.0,1240.0,1042.0,275.0,67.0,5588.0,15347.0,141.0,12.0,2300.0,1843.0,31.0,0.0,0.0,58.0,5.0,2.75,13011.0,912168028.0,83604,213,214,1622,1356,266,83869,14.0,14400.0,1202.0,68.0,65.0,1012.3978946669366,1340.632919034112,1668.022657078881,2170.2677893405776,1386.3909799190794,129.0221061162,317.9436707456,1988.716327489,6751.9743495374,953.0086552709,10140.6651091591
2018,2762,Allschwil,3800.0,3524.0,1303.0,1092.0,256.0,70.0,5759.0,15391.0,156.0,7.0,3000.0,1911.0,41.0,0.0,0.0,58.0,5.0,2.75,13201.0,891645363.0,84490,236,215,1562,1364,198,84709,7.0,3000.0,1911.0,71.0,87.0,1012.3978946669366,1340.632919034112,1668.022657078881,2170.2677893405776,1386.3909799190794,129.0221061162,317.9436707456,1988.716327489,6751.9743495374,953.0086552709,10140.6651091591
2019,2762,Allschwil,3792.0,3387.0,1310.0,1127.0,264.0,72.0,5841.0,15366.0,175.0,11.0,4600.0,1901.0,34.0,0.0,0.0,58.0,5.0,2.75,13177.0,913135532.0,84861,240,224,1345,1429,154,84793,12.0,8700.0,1489.0,73.0,75.0,1012.3978946669366,1340.632919034112,1668.022657078881,2170.2677893405776,1386.3909799190794,129.0221061162,317.9436707456,1988.716327489,6751.9743495374,953.0086552709,10140.6651091591
2020,2762,Allschwil,3843.0,3412.0,1296.0,1169.0,281.0,67.0,6012.0,15283.0,157.0,5.0,1100.0,1875.0,137.0,0.0,0.0,58.0,5.0,0.55,13342.0,929774127.0,85060,229,201,1515,1305,210,85298,7.0,10500.0,1681.0,77.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2762,Allschwil,3949.0,3428.0,1283.0,1189.0,286.0,66.0,6230.0,15322.0,144.0,4.0,2200.0,1602.0,123.0,0.0,0.0,58.0,5.0,0.55,13490.0,953635654.0,86075,211,227,1587,1312,275,86334,4.0,2200.0,1602.0,83.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2762,Allschwil,4022.0,3411.0,1291.0,1184.0,282.0,75.0,6471.0,15336.0,86.0,0.0,0.0,0.0,74.0,0.0,0.0,58.0,5.0,0.55,13499.0,960885160.0,87111,208,224,1573,1325,248,87343,4.0,8400.0,2003.0,85.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2762,Allschwil,4088.0,3475.0,1345.0,1207.0,290.0,71.0,6745.0,15318.0,88.0,0.0,0.0,0.0,217.0,55.0,55.0,58.0,0.0,0.0,0.0,0.0,88067,212,240,1610,1211,399,88438,0.0,0.0,0.0,87.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2762,Allschwil,4131.0,3430.0,1373.0,1211.0,293.0,71.0,6918.0,15329.0,0.0,0.0,0.0,0.0,28.0,55.0,55.0,58.0,0.0,0.0,0.0,0.0,88995,226,236,1387,1397,62,88975,0.0,0.0,0.0,87.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2762,Allschwil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,58.0,0.0,0.0,0.0,0.0,66868,165,172,1174,947,227,67088,0.0,0.0,0.0,47.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2841,Anwil,0.0,0.0,0.0,0.0,0.0,0.0,41.0,530.0,0.0,5.0,3500.0,319.0,2.0,0.0,0.0,60.0,4.5,3.5,0.0,0.0,2274,9,5,41,20,21,2299,5.0,3500.0,319.0,6.0,6.0,0.0,0.0,1464.3658752175895,0.0,1454.0502129122128,25.8304833263,0.0,103.1892220307,40.0775443967,0.0,174.7687801456
2011,2841,Anwil,0.0,0.0,0.0,0.0,0.0,0.0,40.0,547.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,4.5,2.75,0.0,0.0,2352,11,3,24,40,26,2344,0.0,0.0,0.0,13.0,13.0,0.0,0.0,1464.3658752175895,0.0,1454.0502129122128,25.8304833263,0.0,103.1892220307,40.0775443967,0.0,174.7687801456
2012,2841,Anwil,37.0,74.0,30.0,49.0,12.0,7.0,43.0,537.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,4.5,2.75,0.0,0.0,2317,4,4,32,31,17,2318,0.0,0.0,0.0,11.0,10.0,0.0,0.0,1464.3658752175895,0.0,1454.0502129122128,25.8304833263,0.0,103.1892220307,40.0775443967,0.0,174.7687801456
2013,2841,Anwil,43.0,74.0,35.0,48.0,11.0,6.0,41.0,541.0,0.0,3.0,2000.0,379.0,4.0,0.0,0.0,60.0,4.5,2.75,321.0,18561458.0,2322,2,3,27,18,15,2330,3.0,2000.0,379.0,7.0,9.0,0.0,0.0,1464.3658752175895,0.0,1454.0502129122128,25.8304833263,0.0,103.1892220307,40.0775443967,0.0,174.7687801456
2014,2841,Anwil,42.0,74.0,33.0,50.0,12.0,4.0,42.0,539.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,4.5,2.75,326.0,18252484.0,2329,5,1,19,33,16,2319,0.0,0.0,0.0,11.0,9.0,0.0,0.0,1464.3658752175895,0.0,1454.0502129122128,25.8304833263,0.0,103.1892220307,40.0775443967,0.0,174.7687801456
2015,2841,Anwil,48.0,74.0,40.0,44.0,13.0,3.0,41.0,543.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,4.5,2.75,332.0,18865555.0,2332,6,6,37,26,13,2343,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,1273.541876066167,16.4632264477,0.0,119.4595151053,36.9033629229,0.0,179.5210287499
2016,2841,Anwil,46.0,81.0,37.0,45.0,11.0,4.0,41.0,544.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,63.0,4.5,2.75,337.0,19573306.0,2339,2,4,22,23,13,2336,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,1273.541876066167,16.4632264477,0.0,119.4595151053,36.9033629229,0.0,179.5210287499
2017,2841,Anwil,49.0,80.0,34.0,42.0,15.0,2.0,36.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,4.5,2.75,335.0,18906350.0,2325,10,4,18,35,17,2314,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,1273.541876066167,16.4632264477,0.0,119.4595151053,36.9033629229,0.0,179.5210287499
2018,2841,Anwil,47.0,90.0,37.0,38.0,12.0,2.0,36.0,534.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,63.0,4.5,2.75,338.0,19748150.0,2285,2,3,24,32,16,2276,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,1273.541876066167,16.4632264477,0.0,119.4595151053,36.9033629229,0.0,179.5210287499
2019,2841,Anwil,53.0,86.0,39.0,31.0,12.0,4.0,34.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,4.5,2.75,339.0,18955513.0,2252,7,3,19,37,18,2238,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,1273.541876066167,16.4632264477,0.0,119.4595151053,36.9033629229,0.0,179.5210287499
2020,2841,Anwil,56.0,91.0,36.0,31.0,11.0,2.0,33.0,516.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,2.75,0.55,335.0,18989914.0,2204,2,2,22,33,17,2193,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2841,Anwil,55.0,90.0,35.0,30.0,9.0,3.0,28.0,506.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,2.75,0.55,324.0,19697088.0,2142,4,10,29,37,14,2128,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2841,Anwil,55.0,95.0,31.0,33.0,8.0,3.0,33.0,501.0,0.0,4.0,2600.0,390.0,1.0,0.0,0.0,60.0,2.75,0.55,314.0,19424990.0,2133,8,5,30,24,12,2142,5.0,2700.0,386.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2841,Anwil,55.0,106.0,21.0,35.0,9.0,3.0,40.0,502.0,0.0,0.0,0.0,0.0,1.0,40.0,50.0,60.0,0.0,0.0,0.0,0.0,2164,6,4,34,29,11,2171,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2841,Anwil,61.0,100.0,23.0,36.0,9.0,4.0,44.0,505.0,0.0,0.0,0.0,0.0,2.0,40.0,50.0,60.0,0.0,0.0,0.0,0.0,2188,8,2,35,24,11,2205,0.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2841,Anwil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,60.0,0.0,0.0,0.0,0.0,1681,1,1,19,20,1,1680,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2881,Arboldswil,0.0,0.0,0.0,0.0,0.0,0.0,31.0,486.0,0.0,6.0,3600.0,384.0,5.0,0.0,0.0,60.0,4.5,3.5,0.0,0.0,2071,4,3,35,43,28,2063,6.0,3600.0,384.0,11.0,8.0,0.0,0.0,0.0,0.0,1432.6108967002915,0.0,0.0,149.72413415,22.124115223,0.0,183.1978032937
2011,2881,Arboldswil,0.0,0.0,0.0,0.0,0.0,0.0,29.0,492.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,60.0,4.5,2.75,0.0,0.0,2072,5,3,37,20,27,2091,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,1432.6108967002915,0.0,0.0,149.72413415,22.124115223,0.0,183.1978032937
2012,2881,Arboldswil,51.0,95.0,20.0,28.0,16.0,5.0,25.0,509.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,4.5,2.75,0.0,0.0,2140,6,4,23,29,10,2136,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,1432.6108967002915,0.0,0.0,149.72413415,22.124115223,0.0,183.1978032937
2013,2881,Arboldswil,52.0,95.0,22.0,33.0,16.0,3.0,28.0,509.0,0.0,3.0,2200.0,496.0,1.0,0.0,0.0,60.0,4.5,2.75,318.0,21534727.0,2139,3,0,25,13,12,2154,3.0,2200.0,496.0,5.0,5.0,0.0,0.0,0.0,0.0,1432.6108967002915,0.0,0.0,149.72413415,22.124115223,0.0,183.1978032937
2014,2881,Arboldswil,47.0,96.0,25.0,34.0,17.0,3.0,32.0,521.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,4.5,2.75,322.0,21680035.0,2204,3,4,28,18,12,2213,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,1432.6108967002915,0.0,0.0,149.72413415,22.124115223,0.0,183.1978032937
2015,2881,Arboldswil,49.0,90.0,27.0,38.0,15.0,5.0,34.0,529.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,60.0,4.5,2.75,328.0,22898771.0,2246,3,3,34,20,22,2260,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,1297.855975071662,0.0,0.0,164.0444904384,40.5923175291,0.0,216.2027713358
2016,2881,Arboldswil,48.0,95.0,28.0,35.0,14.0,4.0,35.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,4.5,2.75,337.0,23074478.0,2255,2,4,24,28,28,2249,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1297.855975071662,0.0,0.0,164.0444904384,40.5923175291,0.0,216.2027713358
2017,2881,Arboldswil,49.0,97.0,31.0,33.0,14.0,3.0,42.0,525.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,4.5,2.75,332.0,23252805.0,2265,5,5,33,28,9,2270,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,1297.855975071662,0.0,0.0,164.0444904384,40.5923175291,0.0,216.2027713358
2018,2881,Arboldswil,49.0,108.0,31.0,31.0,13.0,4.0,41.0,534.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,60.0,4.5,2.75,351.0,24575201.0,2293,3,1,45,33,18,2307,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,1297.855975071662,0.0,0.0,164.0444904384,40.5923175291,0.0,216.2027713358
2019,2881,Arboldswil,53.0,102.0,33.0,34.0,12.0,3.0,37.0,540.0,0.0,4.0,3300.0,517.0,4.0,0.0,0.0,60.0,4.5,2.75,358.0,25765667.0,2304,7,3,30,31,17,2307,4.0,3300.0,517.0,8.0,6.0,0.0,0.0,0.0,0.0,1297.855975071662,0.0,0.0,164.0444904384,40.5923175291,0.0,216.2027713358
2020,2881,Arboldswil,56.0,101.0,27.0,37.0,10.0,3.0,38.0,536.0,0.0,3.0,2200.0,598.0,1.0,0.0,0.0,60.0,4.5,0.55,347.0,24355925.0,2303,4,5,22,41,25,2283,3.0,2200.0,598.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2881,Arboldswil,63.0,102.0,29.0,37.0,12.0,2.0,43.0,536.0,0.0,5.0,2900.0,506.0,13.0,0.0,0.0,60.0,4.5,0.55,355.0,25151804.0,2307,5,4,46,28,28,2326,5.0,2900.0,506.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2881,Arboldswil,66.0,105.0,26.0,34.0,13.0,5.0,55.0,539.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,4.5,0.55,356.0,26023446.0,2368,4,7,32,16,18,2381,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2881,Arboldswil,72.0,101.0,31.0,30.0,13.0,3.0,63.0,525.0,0.0,0.0,0.0,0.0,5.0,50.0,50.0,60.0,0.0,0.0,0.0,0.0,2350,2,7,36,34,20,2347,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2881,Arboldswil,67.0,103.0,29.0,34.0,13.0,6.0,67.0,537.0,0.0,0.0,0.0,0.0,1.0,50.0,50.0,60.0,0.0,0.0,0.0,0.0,2406,6,5,52,30,22,2429,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2881,Arboldswil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,59.0,0.0,0.0,0.0,0.0,1809,1,1,18,46,28,1781,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2821,Arisdorf,0.0,0.0,0.0,0.0,0.0,0.0,125.0,1453.0,0.0,9.0,3700.0,534.0,9.0,0.0,0.0,59.0,4.5,3.5,0.0,0.0,6314,11,9,86,91,17,6311,10.0,4200.0,523.0,38.0,26.0,0.0,1296.5454604608356,1486.2472477473036,1738.612926007518,1323.4870880043466,44.5514568311,0.0,463.2345985752,114.0803341321,46.1701982985,668.0365878369
2011,2821,Arisdorf,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1460.0,0.0,7.0,1700.0,622.0,35.0,0.0,0.0,59.0,4.5,2.75,0.0,0.0,6361,13,9,122,100,34,6387,7.0,1700.0,622.0,12.0,15.0,0.0,1296.5454604608356,1486.2472477473036,1738.612926007518,1323.4870880043466,44.5514568311,0.0,463.2345985752,114.0803341321,46.1701982985,668.0365878369
2012,2821,Arisdorf,131.0,267.0,95.0,96.0,34.0,13.0,140.0,1484.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,4.5,2.75,0.0,0.0,6487,17,8,129,119,38,6506,0.0,0.0,0.0,14.0,15.0,0.0,1296.5454604608356,1486.2472477473036,1738.612926007518,1323.4870880043466,44.5514568311,0.0,463.2345985752,114.0803341321,46.1701982985,668.0365878369
2013,2821,Arisdorf,140.0,271.0,91.0,97.0,33.0,13.0,149.0,1472.0,11.0,3.0,1400.0,398.0,0.0,0.0,0.0,59.0,4.5,2.75,959.0,67272696.0,6485,9,17,108,102,40,6483,4.0,2300.0,472.0,21.0,18.0,0.0,1296.5454604608356,1486.2472477473036,1738.612926007518,1323.4870880043466,44.5514568311,0.0,463.2345985752,114.0803341321,46.1701982985,668.0365878369
