jahr,bfs_nummer,gemeinde,falle,flache_in_m2,quadratmeterpreis_chf
1997,2849,Itingen,( ),( ),( )
1997,2861,Sissach,11,28500,483
1997,2895,Waldenburg,( ),( ),( )
1998,2763,Arlesheim,7,4400,905
1998,2770,Muttenz,19,19100,792
1998,2821,Arisdorf,6,3100,421
1998,2822,Augst,( ),( ),( )
1998,2829,Liestal,50,19500,507
1998,2841,Anwil,3,2900,311
1998,2849,Itingen,14,5400,464
1998,2861,Sissach,18,15900,492
1998,2895,Waldenburg,( ),( ),( )
1999,2763,Arlesheim,14,18600,571
1999,2770,Muttenz,32,14400,852
1999,2821,Arisdorf,4,8200,389
1999,2822,Augst,( ),( ),( )
1999,2829,Liestal,26,13500,451
1999,2841,Anwil,6,4100,295
1999,2849,Itingen,15,12900,315
1999,2861,Sissach,14,8700,444
1999,2895,Waldenburg,,,
2000,2763,Arlesheim,13,6300,878
2000,2770,Muttenz,14,7600,879
2000,2821,Arisdorf,( ),( ),( )
2000,2822,Augst,( ),( ),( )
2000,2829,Liestal,31,64100,442
2000,2841,Anwil,3,1200,274
2000,2849,Itingen,5,2300,494
2000,2861,Sissach,13,7500,560
2000,2895,Waldenburg,,,
2001,2763,Arlesheim,13,12700,858
2001,2770,Muttenz,13,9500,963
2001,2821,Arisdorf,4,3300,252
2001,2822,Augst,,,
2001,2829,Liestal,13,22600,495
2001,2841,Anwil,( ),( ),( )
2001,2849,Itingen,5,2600,462
2001,2861,Sissach,17,9500,537
2001,2895,Waldenburg,,,
2002,2763,Arlesheim,( ),( ),( )
2002,2770,Muttenz,7,6200,849
2002,2821,Arisdorf,5,2200,342
2002,2822,Augst,( ),( ),( )
2002,2829,Liestal,9,13400,595
2002,2841,Anwil,6,3300,306
2002,2849,Itingen,9,11400,353
2002,2861,Sissach,9,5100,559
2002,2895,Waldenburg,( ),( ),( )
2003,2763,Arlesheim,8,6800,804
2003,2770,Muttenz,11,20100,650
2003,2821,Arisdorf,7,4000,283
2003,2822,Augst,,,
2003,2829,Liestal,16,12100,554
2003,2841,Anwil,( ),( ),( )
2003,2849,Itingen,4,1700,539
2003,2861,Sissach,17,16100,499
2003,2895,Waldenburg,3,1100,233
2004,2763,Arlesheim,6,4400,715
2004,2770,Muttenz,7,3200,941
2004,2821,Arisdorf,8,4500,350
2004,2822,Augst,( ),( ),( )
2004,2829,Liestal,33,30100,539
2004,2841,Anwil,5,2900,312
2004,2849,Itingen,4,2700,545
2004,2861,Sissach,11,7400,613
2004,2895,Waldenburg,,,
2005,2763,Arlesheim,5,2700,1045
2005,2770,Muttenz,3,2200,867
2005,2821,Arisdorf,9,6700,439
2005,2822,Augst,,,
2005,2829,Liestal,23,12600,626
2005,2841,Anwil,( ),( ),( )
2005,2849,Itingen,10,4800,442
2005,2861,Sissach,9,9400,564
2005,2895,Waldenburg,,,
2006,2763,Arlesheim,7,3400,1021
2006,2770,Muttenz,11,9400,1038
2006,2821,Arisdorf,8,5500,455
2006,2822,Augst,( ),( ),( )
2006,2829,Liestal,24,21500,488
2006,2841,Anwil,6,4600,299
2006,2849,Itingen,9,3500,358
2006,2861,Sissach,11,18400,693
2006,2895,Waldenburg,( ),( ),( )
2007,2763,Arlesheim,13,8800,1042
2007,2770,Muttenz,7,5000,821
2007,2821,Arisdorf,6,2500,513
2007,2822,Augst,,,
2007,2829,Liestal,10,8800,331
2007,2841,Anwil,6,4000,321
2007,2849,Itingen,6,4600,438
2007,2861,Sissach,7,4700,660
2007,2895,Waldenburg,( ),( ),( )
2008,2763,Arlesheim,3,15800,963
2008,2770,Muttenz,8,3200,1137
2008,2821,Arisdorf,3,2000,550
2008,2822,Augst,,,
2008,2829,Liestal,9,26800,439
2008,2841,Anwil,( ),( ),( )
2008,2849,Itingen,( ),( ),( )
2008,2861,Sissach,7,5400,634
2008,2895,Waldenburg,( ),( ),( )
2009,2763,Arlesheim,6,37000,1168
2009,2770,Muttenz,12,10900,1032
2009,2821,Arisdorf,4,4200,536
2009,2822,Augst,,,
2009,2829,Liestal,12,7900,575
2009,2841,Anwil,3,1900,350
2009,2849,Itingen,6,6700,409
2009,2861,Sissach,9,5500,587
2009,2895,Waldenburg,( ),( ),( )
2010,2763,Arlesheim,6,10200,1045
2010,2770,Muttenz,23,11200,1100
2010,2821,Arisdorf,10,4200,523
2010,2822,Augst,( ),( ),( )
2010,2829,Liestal,27,18600,624
2010,2841,Anwil,5,3500,319
2010,2849,Itingen,24,7600,560
2010,2861,Sissach,10,16500,443
2010,2895,Waldenburg,3,2000,189
