jahr,bfs_nummer,gemeinde,haushaltsgrosse,wert
2022,2770,Muttenz,6_oder_mehr_Personen,87
2022,2821,Arisdorf,6_oder_mehr_Personen,14
2022,2822,Augst,6_oder_mehr_Personen,8
2022,2829,Liestal,6_oder_mehr_Personen,87
2022,2841,Anwil,6_oder_mehr_Personen,3
2022,2849,Itingen,6_oder_mehr_Personen,7
2022,2861,Sissach,6_oder_mehr_Personen,38
2022,2895,Waldenburg,6_oder_mehr_Personen,11
2021,2763,Arlesheim,1_Person,1692
2021,2770,Muttenz,1_Person,2887
2021,2821,Arisdorf,1_Person,174
2021,2822,Augst,1_Person,222
2021,2829,Liestal,1_Person,2562
2021,2841,Anwil,1_Person,55
2021,2849,Itingen,1_Person,252
2021,2861,Sissach,1_Person,1097
2021,2895,Waldenburg,1_Person,225
2021,2763,Arlesheim,2_Personen,1469
2021,2770,Muttenz,2_Personen,2830
2021,2821,Arisdorf,2_Personen,274
2021,2822,Augst,2_Personen,185
2021,2829,Liestal,2_Personen,2416
2021,2841,Anwil,2_Personen,90
2021,2849,Itingen,2_Personen,390
2021,2861,Sissach,2_Personen,1106
2021,2895,Waldenburg,2_Personen,178
2021,2763,Arlesheim,3_Personen,477
2021,2770,Muttenz,3_Personen,1014
2021,2821,Arisdorf,3_Personen,106
2021,2822,Augst,3_Personen,57
2021,2829,Liestal,3_Personen,777
2021,2841,Anwil,3_Personen,35
2021,2849,Itingen,3_Personen,130
2021,2861,Sissach,3_Personen,379
2021,2895,Waldenburg,3_Personen,55
2021,2763,Arlesheim,4_Personen,516
2021,2770,Muttenz,4_Personen,1047
2021,2821,Arisdorf,4_Personen,95
2021,2822,Augst,4_Personen,48
2021,2829,Liestal,4_Personen,778
2021,2841,Anwil,4_Personen,30
2021,2849,Itingen,4_Personen,152
2021,2861,Sissach,4_Personen,379
2021,2895,Waldenburg,4_Personen,42
2021,2763,Arlesheim,5_Personen,143
2021,2770,Muttenz,5_Personen,259
2021,2821,Arisdorf,5_Personen,34
2021,2822,Augst,5_Personen,9
2021,2829,Liestal,5_Personen,277
2021,2841,Anwil,5_Personen,9
2021,2849,Itingen,5_Personen,40
2021,2861,Sissach,5_Personen,104
2021,2895,Waldenburg,5_Personen,23
2021,2763,Arlesheim,6_oder_mehr_Personen,33
2021,2770,Muttenz,6_oder_mehr_Personen,87
2021,2821,Arisdorf,6_oder_mehr_Personen,14
2021,2822,Augst,6_oder_mehr_Personen,6
2021,2829,Liestal,6_oder_mehr_Personen,89
2021,2841,Anwil,6_oder_mehr_Personen,3
2021,2849,Itingen,6_oder_mehr_Personen,10
2021,2861,Sissach,6_oder_mehr_Personen,36
2021,2895,Waldenburg,6_oder_mehr_Personen,11
2020,2763,Arlesheim,1_Person,1641
2020,2770,Muttenz,1_Person,2877
2020,2821,Arisdorf,1_Person,165
2020,2822,Augst,1_Person,222
2020,2829,Liestal,1_Person,2445
2020,2841,Anwil,1_Person,56
2020,2849,Itingen,1_Person,222
2020,2861,Sissach,1_Person,1052
2020,2895,Waldenburg,1_Person,205
2020,2763,Arlesheim,2_Personen,1465
2020,2770,Muttenz,2_Personen,2817
2020,2821,Arisdorf,2_Personen,282
2020,2822,Augst,2_Personen,189
2020,2829,Liestal,2_Personen,2361
2020,2841,Anwil,2_Personen,91
2020,2849,Itingen,2_Personen,369
2020,2861,Sissach,2_Personen,1086
2020,2895,Waldenburg,2_Personen,186
2020,2763,Arlesheim,3_Personen,478
2020,2770,Muttenz,3_Personen,1020
2020,2821,Arisdorf,3_Personen,105
2020,2822,Augst,3_Personen,63
2020,2829,Liestal,3_Personen,771
2020,2841,Anwil,3_Personen,36
2020,2849,Itingen,3_Personen,116
2020,2861,Sissach,3_Personen,370
2020,2895,Waldenburg,3_Personen,59
2020,2763,Arlesheim,4_Personen,522
2020,2770,Muttenz,4_Personen,1060
2020,2821,Arisdorf,4_Personen,98
2020,2822,Augst,4_Personen,41
