periode,raum,bezirk_code,bezirk_text,gemeinde_code,gemeinde_text,bewohnertyp_code,bewohnertyp_text,beobachtungen,schatzwert,schatzbereich_von,schatzbereich_bis,vi_absolut,vi_prozent,genauigkeit
2015/2019,BL,1303,Bezirk Liestal,2822,Augst,4,Hauseigentümer/innen,39.0,144.5157956071,102.582624102591,186.448967111609,41.9331715045088,29.016324013822,Schätzwert bedingt zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2822,Augst,5,andere Situation/unbekannt,,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1303,Bezirk Liestal,2829,Liestal,1,Mieter/innen oder Untermieter/innen,820.0,3768.5614023362,3527.95905322013,4009.16375145227,240.602349116073,6.38446142782547,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2829,Liestal,2,Genossenschafter/innen,28.0,121.1091084753,79.0756207851799,163.14259616542,42.0334876901202,34.7071233694143,Schätzwert bedingt zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2829,Liestal,3,Stockwerk-/Wohnungseigentümer/innen,206.0,851.4787253192,742.975130419406,959.982320218994,108.503594899794,12.7429601789661,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2829,Liestal,4,Hauseigentümer/innen,475.0,1568.6661103701,1437.75709966792,1699.57512107228,130.90901070218,8.3452437607194,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2829,Liestal,5,andere Situation/unbekannt,26.0,103.8287707273,65.0730422678267,142.584499186773,38.7557284594733,37.3265793170786,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2841,Anwil,1,Mieter/innen oder Untermieter/innen,10.0,36.9033629229,15.4454170648849,58.3613087809151,21.4579458580151,58.1463155616629,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2841,Anwil,3,Stockwerk-/Wohnungseigentümer/innen,,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1304,Bezirk Sissach,2841,Anwil,4,Hauseigentümer/innen,35.0,119.4595151053,82.4521462276582,156.466883982942,37.0073688776418,30.9790047657743,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2841,Anwil,5,andere Situation/unbekannt,5.0,16.4632264477,3.8971290578358,29.0293238375642,12.5660973898642,76.3282788448783,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2849,Itingen,1,Mieter/innen oder Untermieter/innen,64.0,313.3893041954,241.835732864181,384.942875526619,71.5535713312185,22.8321676500499,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2849,Itingen,3,Stockwerk-/Wohnungseigentümer/innen,6.0,26.219159571,6.62856274840889,45.8097563935911,19.5905968225911,74.7186299756897,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2849,Itingen,4,Hauseigentümer/innen,148.0,498.1526279222,424.124198571646,572.181057272754,74.0284293505541,14.8605919553867,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2849,Itingen,5,andere Situation/unbekannt,10.0,35.6576881204,15.1002176076885,56.2151586331115,20.5574705127115,57.6522808862374,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2861,Sissach,1,Mieter/innen oder Untermieter/innen,350.0,1626.2337628728,1465.94953884036,1786.51798690524,160.284224032442,9.85616137678103,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2861,Sissach,2,Genossenschafter/innen,,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1304,Bezirk Sissach,2861,Sissach,3,Stockwerk-/Wohnungseigentümer/innen,103.0,403.1407936711,331.085744005055,475.195843337145,72.0550496660451,17.8734206007519,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2861,Sissach,4,Hauseigentümer/innen,243.0,806.2488360869,712.086203815541,900.411468358259,94.1626322713589,11.6791030332985,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2861,Sissach,5,andere Situation/unbekannt,16.0,65.5534626736,34.887122975001,96.219802372199,30.666339698599,46.7806557394094,Schätzwert bedingt zuverlässig
2015/2019,BL,1305,Bezirk Waldenburg,2895,Waldenburg,1,Mieter/innen oder Untermieter/innen,32.0,148.4724745693,100.038598774069,196.906350364531,48.4338757952306,32.6214511718291,Schätzwert bedingt zuverlässig
2015/2019,BL,1305,Bezirk Waldenburg,2895,Waldenburg,3,Stockwerk-/Wohnungseigentümer/innen,7.0,24.496499001,7.51793683041732,41.4750611715827,16.9785621705827,69.3101580347852,Schätzwert bedingt zuverlässig
2015/2019,BL,1305,Bezirk Waldenburg,2895,Waldenburg,4,Hauseigentümer/innen,72.0,244.8992666824,192.486989069346,297.311544295454,52.4122776130542,21.4015657633739,Schätzwert zuverlässig
2015/2019,BL,1305,Bezirk Waldenburg,2895,Waldenburg,5,andere Situation/unbekannt,,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1301,Bezirk Arlesheim,2763,Arlesheim,Total,Total,1008.0,4123.8487682809,3886.54617049328,4361.15136606852,237.30259778762,5.75439622356821,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2770,Muttenz,Total,Total,2139.0,8317.8560639719,7996.12606657524,8639.58606136856,321.729997396659,3.86794379371634,Schätzwert zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2821,Arisdorf,Total,Total,191.0,668.0365878369,580.488856454063,755.584319219737,87.5477313828374,13.1052300093797,Schätzwert zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2822,Augst,Total,Total,110.0,474.8324982797,392.007865793846,557.657130765554,82.8246324858538,17.4429157199485,Schätzwert zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2829,Liestal,Total,Total,1433.0,5731.7157424001,5458.46739469819,6004.96409010201,273.248347701913,4.76730459050109,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2841,Anwil,Total,Total,58.0,174.7687801456,133.143714708701,216.393845582499,41.6250654368986,23.817220330897,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2849,Itingen,Total,Total,236.0,862.4391690666,761.051660054491,963.826678078709,101.387509012109,11.7559026362217,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2861,Sissach,Total,Total,689.0,2674.6683889987,2489.44628694758,2859.89049104982,185.222102051123,6.92504920658457,Schätzwert zuverlässig
2010/2014,BL,1305,Bezirk Waldenburg,2895,Waldenburg,Total,Total,118.0,475.3545356289,394.266215466376,556.442855791424,81.0883201625237,17.0584929951795,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2763,Arlesheim,1,Mieter/innen oder Untermieter/innen,503.0,2257.4310365705,2073.6002248378,2441.2618483032,183.830811732697,8.14336335217458,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2763,Arlesheim,2,Genossenschafter/innen,29.0,126.3240745233,82.6814326766201,169.96671636998,43.6426418466799,34.5481587823786,Schätzwert bedingt zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2763,Arlesheim,3,Stockwerk-/Wohnungseigentümer/innen,135.0,536.3149614865,452.63210462122,619.99781835178,83.6828568652805,15.6033045644181,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2763,Arlesheim,4,Hauseigentümer/innen,315.0,1112.808428607,997.535627798914,1228.08122941509,115.272800808087,10.3587282271382,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2763,Arlesheim,5,andere Situation/unbekannt,26.0,90.9702670936,55.7031523063475,126.237381880853,35.2671147872525,38.7677379807689,Schätzwert bedingt zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2770,Muttenz,1,Mieter/innen oder Untermieter/innen,1008.0,4401.3488933256,4150.49138913003,4652.20639752117,250.857504195572,5.69955961855201,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2770,Muttenz,2,Genossenschafter/innen,151.0,589.9175888183,502.17897075803,677.656206878571,87.7386180602705,14.8730296779293,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2770,Muttenz,3,Stockwerk-/Wohnungseigentümer/innen,179.0,666.4301455084,577.526225816004,755.334065200796,88.9039196923961,13.3403208560702,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2770,Muttenz,4,Hauseigentümer/innen,730.0,2447.7420974508,2284.49541230944,2610.98878259216,163.246685141356,6.66927636336235,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2770,Muttenz,5,andere Situation/unbekannt,71.0,212.4173388688,165.503198873401,259.331478864199,46.9141399953992,22.0858335977817,Schätzwert zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2821,Arisdorf,1,Mieter/innen oder Untermieter/innen,27.0,114.0803341321,74.9058906415739,153.254777622626,39.1744434905261,34.3393484850455,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2821,Arisdorf,3,Stockwerk-/Wohnungseigentümer/innen,13.0,46.1701982985,22.6293259701687,69.7110706268313,23.5408723283313,50.9871588077976,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2821,Arisdorf,4,Hauseigentümer/innen,136.0,463.2345985752,391.376499946496,535.092697203905,71.8580986287046,15.51224775734,Schätzwert zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2821,Arisdorf,5,andere Situation/unbekannt,15.0,44.5514568311,23.7784551990079,65.3244584631921,20.7730016320921,46.6269862079821,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2822,Augst,1,Mieter/innen oder Untermieter/innen,35.0,176.4828746598,122.121387215757,230.844362103843,54.3614874440426,30.8026983064693,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2822,Augst,3,Stockwerk-/Wohnungseigentümer/innen,33.0,128.290394845,88.5812305708197,167.99955911918,39.7091642741803,30.9525622102549,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2822,Augst,4,Hauseigentümer/innen,41.0,167.9442383518,119.691263260651,216.197213442949,48.2529750911493,28.7315454014396,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2822,Augst,5,andere Situation/unbekannt,,,,,,,Kein Schätzwert (vertraulich)
