jahr,bfs_nummer,gemeinde,neu_erstellte_wohnungen
2016,2829,Liestal,65
2016,2841,Anwil,1
2016,2849,Itingen,2
2016,2861,Sissach,32
2016,2895,Waldenburg,3
2017,2763,Arlesheim,26
2017,2770,Muttenz,69
2017,2821,Arisdorf,0
2017,2822,Augst,1
2017,2829,Liestal,259
2017,2841,Anwil,0
2017,2849,Itingen,0
2017,2861,Sissach,20
2017,2895,Waldenburg,0
2018,2763,Arlesheim,18
2018,2770,Muttenz,61
2018,2821,Arisdorf,9
2018,2822,Augst,14
2018,2829,Liestal,107
2018,2841,Anwil,2
2018,2849,Itingen,20
2018,2861,Sissach,40
2018,2895,Waldenburg,0
2019,2763,Arlesheim,31
2019,2770,Muttenz,35
2019,2821,Arisdorf,9
2019,2822,Augst,10
2019,2829,Liestal,116
2019,2841,Anwil,0
2019,2849,Itingen,14
2019,2861,Sissach,34
2019,2895,Waldenburg,7
2020,2763,Arlesheim,77
2020,2770,Muttenz,81
2020,2821,Arisdorf,15
2020,2822,Augst,0
2020,2829,Liestal,318
2020,2841,Anwil,1
2020,2849,Itingen,11
2020,2861,Sissach,19
2020,2895,Waldenburg,0
2021,2763,Arlesheim,40
2021,2770,Muttenz,8
2021,2821,Arisdorf,3
2021,2822,Augst,2
2021,2829,Liestal,78
2021,2841,Anwil,2
2021,2849,Itingen,99
2021,2861,Sissach,14
2021,2895,Waldenburg,4
2022,2763,Arlesheim,50
2022,2770,Muttenz,160
2022,2821,Arisdorf,1
2022,2822,Augst,0
2022,2829,Liestal,143
2022,2841,Anwil,1
2022,2849,Itingen,1
2022,2861,Sissach,48
2022,2895,Waldenburg,20
2023,2763,Arlesheim,33
2023,2770,Muttenz,57
2023,2821,Arisdorf,1
2023,2822,Augst,1
2023,2829,Liestal,129
2023,2841,Anwil,1
2023,2849,Itingen,55
2023,2861,Sissach,10
2023,2895,Waldenburg,13
2024,2763,Arlesheim,8
2024,2770,Muttenz,52
2024,2821,Arisdorf,5
2024,2822,Augst,0
2024,2829,Liestal,89
2024,2841,Anwil,2
2024,2849,Itingen,3
2024,2861,Sissach,12
2024,2895,Waldenburg,0
