jahr,bfs_nummer,gemeinde,ds10630_avg_haushaltsgrosse,ds10080_anteil_auslaender_pct,ds10080_anteil_schweizer_pct,ds10060_1_person,ds10060_2_personen,ds10060_3_personen,ds10060_4_personen,ds10060_5_personen,ds10060_6_oder_mehr_personen,ds10080_ausland,ds10080_schweiz,ds10180_anzahl,ds10200_falle,ds10200_flache_in_m2,ds10200_quadratmeterpreis_chf,ds10230_neu_erstellte_wohnungen,ds10580_steuerfuss_ertrag_juristische_personen_prozent,ds10580_steuerfuss_kapital_juristische_personen_prozent,ds10580_steuerfuss_natuerliche_personen_prozent,ds10580_steuersatz_ertrag_juristische_personen_prozent,ds10580_steuersatz_kapital_juristische_personen_promille,ds10630_anzahl_steuerpflichtige,ds10630_steuerbares_einkommen_chf,ds10680_anfangsbestand,ds10680_geburten,ds10680_todesfaelle,ds10680_zuzuege,ds10680_wegzuege,ds10680_wanderungssaldo,ds10680_endbestand,ds12070_falle,ds12070_flache_in_m2,ds12070_quadratmeterpreis_chf,ds12880_anzahl_bewilligungen,ds12900_anzahl_bauprojekte,ds13010_1_2,ds13010_3,ds13010_4,ds13010_5plus,ds13010_total,ds13030_andere_situation_unbekannt,ds13030_genossenschafter_innen,ds13030_hauseigentuemer_innen,ds13030_mieter_innen_oder_untermieter_innen,ds13030_stockwerk_wohnungseigentuemer_innen,ds13030_total
2011,2770,Muttenz,0.0,18.52,81.48,0.0,0.0,0.0,0.0,0.0,0.0,3213.0,14138.0,0.0,4.0,2900.0,1150.0,103.0,0.0,0.0,56.0,5.0,2.75,0.0,0.0,69373,131,174,1130,1026,136,69432,5.0,6900.0,866.0,123.0,133,901.317222943277,1295.0988583789365,1584.4670480432133,1883.4494940844113,1383.2589345619529,212.4173388688,589.9175888183,2447.7420974508,4401.3488933256,666.4301455084,8317.8560639719
2012,2770,Muttenz,2.19,18.82,81.18,2671.0,2817.0,966.0,995.0,289.0,82.0,3276.0,14133.0,0.0,17.0,11100.0,1273.0,16.0,0.0,0.0,56.0,5.0,2.75,0.0,0.0,69622,145,181,1081,1022,59,69645,17.0,11100.0,1273.0,122.0,124,901.317222943277,1295.0988583789365,1584.4670480432133,1883.4494940844113,1383.2589345619529,212.4173388688,589.9175888183,2447.7420974508,4401.3488933256,666.4301455084,8317.8560639719
2013,2770,Muttenz,2.19,19.23,80.77,2679.0,2793.0,1006.0,982.0,295.0,74.0,3344.0,14050.0,121.0,0.0,0.0,0.0,23.0,0.0,0.0,56.0,5.0,2.75,10821.0,710086343.0,69560,130,168,1082,1010,74,69593,0.0,0.0,0.0,102.0,97,901.317222943277,1295.0988583789365,1584.4670480432133,1883.4494940844113,1383.2589345619529,212.4173388688,589.9175888183,2447.7420974508,4401.3488933256,666.4301455084,8317.8560639719
2014,2770,Muttenz,2.19,19.46,80.54,2678.0,2827.0,991.0,999.0,297.0,78.0,3411.0,14120.0,154.0,15.0,6800.0,1276.0,38.0,0.0,0.0,56.0,5.0,2.75,10916.0,727948773.0,70050,156,150,1093,953,154,70196,16.0,6900.0,1277.0,104.0,101,901.317222943277,1295.0988583789365,1584.4670480432133,1883.4494940844113,1383.2589345619529,212.4173388688,589.9175888183,2447.7420974508,4401.3488933256,666.4301455084,8317.8560639719
2015,2770,Muttenz,2.2,19.87,80.13,2715.0,2765.0,1034.0,988.0,301.0,86.0,3500.0,14115.0,146.0,15.0,5400.0,1212.0,75.0,0.0,0.0,56.0,5.0,2.75,10934.0,728667174.0,70392,154,186,1188,1021,205,70526,17.0,5800.0,1135.0,96.0,101,966.0979492470532,1262.7436257622437,1583.219244142252,1918.379226250838,1362.2919186590302,141.883008037,555.2091256196,2392.855378959,4542.4556492026,649.7236572154,8282.1268190336
2016,2770,Muttenz,2.19,20.42,79.58,2714.0,2830.0,1040.0,989.0,291.0,80.0,3621.0,14113.0,110.0,5.0,5200.0,1476.0,39.0,0.0,0.0,56.0,5.0,2.75,10973.0,744187984.0,70900,152,166,1171,1090,105,70967,5.0,5200.0,1476.0,82.0,82,966.0979492470532,1262.7436257622437,1583.219244142252,1918.379226250838,1362.2919186590302,141.883008037,555.2091256196,2392.855378959,4542.4556492026,649.7236572154,8282.1268190336
2017,2770,Muttenz,2.19,20.84,79.16,2705.0,2824.0,1061.0,1016.0,285.0,75.0,3713.0,14101.0,125.0,8.0,5600.0,1794.0,69.0,0.0,0.0,56.0,5.0,2.75,11001.0,747652949.0,71213,167,174,1097,1006,223,71297,11.0,8700.0,1682.0,94.0,94,966.0979492470532,1262.7436257622437,1583.219244142252,1918.379226250838,1362.2919186590302,141.883008037,555.2091256196,2392.855378959,4542.4556492026,649.7236572154,8282.1268190336
2018,2770,Muttenz,2.19,20.93,79.07,2735.0,2845.0,1012.0,1053.0,274.0,73.0,3740.0,14130.0,133.0,0.0,0.0,0.0,61.0,0.0,0.0,56.0,5.0,2.75,11011.0,755918817.0,71479,166,180,1084,1069,59,71480,4.0,4500.0,1029.0,101.0,101,966.0979492470532,1262.7436257622437,1583.219244142252,1918.379226250838,1362.2919186590302,141.883008037,555.2091256196,2392.855378959,4542.4556492026,649.7236572154,8282.1268190336
2019,2770,Muttenz,2.18,21.27,78.73,2784.0,2834.0,1006.0,1058.0,272.0,79.0,3819.0,14136.0,139.0,8.0,3800.0,1590.0,35.0,0.0,0.0,56.0,5.0,2.75,11078.0,776135172.0,71773,161,185,1066,951,117,71864,8.0,3800.0,1590.0,99.0,99,966.0979492470532,1262.7436257622437,1583.219244142252,1918.379226250838,1362.2919186590302,141.883008037,555.2091256196,2392.855378959,4542.4556492026,649.7236572154,8282.1268190336
2020,2770,Muttenz,2.17,21.65,78.35,2877.0,2817.0,1020.0,1060.0,268.0,76.0,3906.0,14132.0,121.0,7.0,6100.0,1531.0,81.0,0.0,0.0,56.0,5.0,0.55,11107.0,765301301.0,72141,156,213,1081,997,220,72166,7.0,6100.0,1531.0,88.0,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2770,Muttenz,2.17,21.95,78.05,2887.0,2830.0,1014.0,1047.0,259.0,87.0,3951.0,14049.0,123.0,5.0,3500.0,1921.0,8.0,0.0,0.0,56.0,5.0,0.55,11121.0,774673840.0,71998,144,180,1043,999,100,72005,7.0,8800.0,1724.0,105.0,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2770,Muttenz,2.17,22.63,77.37,2892.0,2799.0,1008.0,1037.0,274.0,87.0,4091.0,13990.0,68.0,12.0,5900.0,1854.0,160.0,0.0,0.0,56.0,5.0,0.55,11079.0,776145453.0,72252,138,184,1134,943,191,72397,22.0,6700.0,1868.0,110.0,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2770,Muttenz,2.16,23.14,76.86,2971.0,2832.0,1039.0,1062.0,269.0,89.0,4224.0,14028.0,77.0,7.0,3900.0,1986.0,57.0,55.0,55.0,56.0,0.0,0.0,0.0,0.0,72913,141,189,1153,910,243,73108,9.0,10900.0,2891.0,99.0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2770,Muttenz,2.16,23.37,76.63,2957.0,2800.0,1033.0,1047.0,271.0,92.0,4279.0,14030.0,0.0,4.0,3400.0,2580.0,52.0,55.0,55.0,56.0,0.0,0.0,0.0,0.0,73313,126,166,907,1021,182,73159,4.0,3400.0,2580.0,76.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2770,Muttenz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,56.0,0.0,0.0,0.0,0.0,54593,96,142,752,683,69,54616,0.0,0.0,0.0,48.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2861,Sissach,0.0,16.85,83.15,0.0,0.0,0.0,0.0,0.0,0.0,1049.0,5176.0,0.0,6.0,1800.0,687.0,36.0,0.0,0.0,55.0,4.0,2.75,0.0,0.0,24857,86,49,529,477,52,24946,10.0,16500.0,443.0,70.0,66,1024.3963439359864,1276.302189244998,1618.6329973219233,2076.5532534639588,1415.183462417752,93.2322648863,0.0,750.9571340281,1546.5770370926,273.2966583852,2674.6683889987
2011,2861,Sissach,0.0,16.38,83.62,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,5249.0,0.0,5.0,3100.0,650.0,19.0,0.0,0.0,55.0,4.0,2.75,0.0,0.0,25106,75,59,508,524,30,25106,6.0,20300.0,773.0,61.0,59,1024.3963439359864,1276.302189244998,1618.6329973219233,2076.5532534639588,1415.183462417752,93.2322648863,0.0,750.9571340281,1546.5770370926,273.2966583852,2674.6683889987
2012,2861,Sissach,2.26,16.36,83.64,874.0,963.0,385.0,353.0,111.0,39.0,1028.0,5256.0,0.0,11.0,5700.0,740.0,26.0,0.0,0.0,55.0,4.0,2.75,0.0,0.0,25120,79,40,547,561,52,25145,15.0,13300.0,627.0,54.0,53,1024.3963439359864,1276.302189244998,1618.6329973219233,2076.5532534639588,1415.183462417752,93.2322648863,0.0,750.9571340281,1546.5770370926,273.2966583852,2674.6683889987
2013,2861,Sissach,2.28,16.49,83.51,859.0,990.0,395.0,359.0,123.0,39.0,1046.0,5298.0,45.0,8.0,7000.0,898.0,54.0,0.0,0.0,57.0,4.0,2.75,3996.0,255592686.0,25306,82,46,611,509,138,25444,12.0,11200.0,883.0,51.0,59,1024.3963439359864,1276.302189244998,1618.6329973219233,2076.5532534639588,1415.183462417752,93.2322648863,0.0,750.9571340281,1546.5770370926,273.2966583852,2674.6683889987
2014,2861,Sissach,2.27,16.48,83.52,887.0,979.0,419.0,361.0,115.0,43.0,1065.0,5398.0,50.0,28.0,7100.0,756.0,52.0,0.0,0.0,57.0,4.0,2.75,4046.0,266583765.0,25822,56,55,453,398,69,25878,31.0,7300.0,751.0,50.0,46,1024.3963439359864,1276.302189244998,1618.6329973219233,2076.5532534639588,1415.183462417752,93.2322648863,0.0,750.9571340281,1546.5770370926,273.2966583852,2674.6683889987
2015,2861,Sissach,2.25,16.79,83.21,932.0,1047.0,388.0,385.0,111.0,39.0,1104.0,5470.0,64.0,3.0,2000.0,768.0,116.0,0.0,0.0,57.0,4.0,2.75,4116.0,272726509.0,26201,74,53,620,456,164,26386,3.0,2000.0,768.0,40.0,43,996.7986057972364,1381.8916690580702,1680.108609795333,1994.3781813849405,1454.232680290844,65.5534626736,0.0,806.2488360869,1626.2337628728,403.1407936711,2908.6189883845
2016,2861,Sissach,2.24,17.58,82.42,964.0,1055.0,402.0,379.0,116.0,41.0,1183.0,5545.0,63.0,4.0,2300.0,885.0,32.0,0.0,0.0,57.0,4.0,2.75,4169.0,283215446.0,26865,87,44,516,469,121,26955,4.0,2300.0,885.0,45.0,37,996.7986057972364,1381.8916690580702,1680.108609795333,1994.3781813849405,1454.232680290844,65.5534626736,0.0,806.2488360869,1626.2337628728,403.1407936711,2908.6189883845
2017,2861,Sissach,2.24,17.58,82.42,958.0,1054.0,382.0,381.0,112.0,43.0,1180.0,5533.0,62.0,6.0,5300.0,921.0,20.0,0.0,0.0,57.0,4.0,2.75,4091.0,279909678.0,26889,72,55,486,581,95,26811,7.0,8100.0,763.0,36.0,49,996.7986057972364,1381.8916690580702,1680.108609795333,1994.3781813849405,1454.232680290844,65.5534626736,0.0,806.2488360869,1626.2337628728,403.1407936711,2908.6189883845
2018,2861,Sissach,2.22,17.4,82.6,980.0,1064.0,379.0,378.0,112.0,43.0,1165.0,5532.0,45.0,6.0,5000.0,1032.0,40.0,0.0,0.0,57.0,4.0,2.75,4154.0,287536006.0,26779,70,47,478,489,47,26791,8.0,5900.0,960.0,58.0,48,996.7986057972364,1381.8916690580702,1680.108609795333,1994.3781813849405,1454.232680290844,65.5534626736,0.0,806.2488360869,1626.2337628728,403.1407936711,2908.6189883845
2019,2861,Sissach,2.2,17.33,82.67,1013.0,1075.0,375.0,378.0,107.0,40.0,1161.0,5539.0,54.0,0.0,0.0,0.0,34.0,0.0,0.0,57.0,4.0,2.75,4160.0,287305505.0,26800,62,52,484,494,64,26799,0.0,0.0,0.0,37.0,38,996.7986057972364,1381.8916690580702,1680.108609795333,1994.3781813849405,1454.232680290844,65.5534626736,0.0,806.2488360869,1626.2337628728,403.1407936711,2908.6189883845
2020,2861,Sissach,2.18,16.97,83.03,1052.0,1086.0,370.0,376.0,105.0,39.0,1137.0,5563.0,75.0,10.0,5400.0,1109.0,19.0,0.0,0.0,57.0,4.0,0.55,4216.0,287666961.0,26793,76,55,475,481,22,26808,10.0,5400.0,1109.0,48.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2861,Sissach,2.16,17.13,82.87,1097.0,1106.0,379.0,379.0,104.0,36.0,1161.0,5618.0,50.0,8.0,7000.0,1006.0,14.0,0.0,0.0,57.0,4.0,0.55,4287.0,297116364.0,27058,65,61,534,425,109,27171,8.0,7000.0,1006.0,57.0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2861,Sissach,2.15,18.04,81.96,1114.0,1105.0,360.0,394.0,98.0,38.0,1243.0,5647.0,32.0,4.0,1900.0,1245.0,48.0,0.0,0.0,57.0,4.0,0.55,4293.0,297959073.0,27522,53,54,559,479,158,27601,5.0,2000.0,1246.0,42.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2861,Sissach,2.15,18.61,81.39,1125.0,1112.0,366.0,389.0,105.0,34.0,1282.0,5606.0,35.0,3.0,2800.0,1248.0,10.0,55.0,55.0,57.0,0.0,0.0,0.0,0.0,27558,50,69,539,534,99,27544,4.0,7200.0,1097.0,41.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2861,Sissach,2.15,18.55,81.45,1120.0,1123.0,373.0,391.0,101.0,35.0,1280.0,5619.0,0.0,3.0,2600.0,1244.0,12.0,55.0,55.0,57.0,0.0,0.0,0.0,0.0,27578,53,58,473,435,54,27611,4.0,2600.0,1245.0,60.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2861,Sissach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,57.0,0.0,0.0,0.0,0.0,20845,48,51,370,301,69,20911,0.0,0.0,0.0,20.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2895,Waldenburg,0.0,27.37,72.63,0.0,0.0,0.0,0.0,0.0,0.0,335.0,889.0,0.0,3.0,2000.0,189.0,0.0,0.0,0.0,67.0,4.75,3.5,0.0,0.0,4886,12,12,128,115,37,4899,3.0,2000.0,189.0,13.0,14,951.0466155638928,1099.245208219173,1210.7124646540162,1750.871442618863,1155.758837756888,20.7923069078,0.0,191.4168100202,256.8267102827,0.0,475.3545356289
2011,2895,Waldenburg,0.0,27.5,72.5,0.0,0.0,0.0,0.0,0.0,0.0,336.0,886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,4.75,2.75,0.0,0.0,4892,15,6,109,123,14,4887,0.0,0.0,0.0,15.0,15,951.0466155638928,1099.245208219173,1210.7124646540162,1750.871442618863,1155.758837756888,20.7923069078,0.0,191.4168100202,256.8267102827,0.0,475.3545356289
2012,2895,Waldenburg,2.21,27.97,72.03,209.0,160.0,57.0,48.0,26.0,22.0,337.0,868.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,67.0,4.75,2.75,0.0,0.0,4831,11,13,119,137,22,4811,0.0,0.0,0.0,10.0,8,951.0466155638928,1099.245208219173,1210.7124646540162,1750.871442618863,1155.758837756888,20.7923069078,0.0,191.4168100202,256.8267102827,0.0,475.3545356289
2013,2895,Waldenburg,2.21,28.45,71.55,199.0,165.0,66.0,46.0,25.0,19.0,340.0,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,4.75,2.75,750.0,36500176.0,4781,10,14,91,95,24,4773,0.0,0.0,0.0,7.0,9,951.0466155638928,1099.245208219173,1210.7124646540162,1750.871442618863,1155.758837756888,20.7923069078,0.0,191.4168100202,256.8267102827,0.0,475.3545356289
2014,2895,Waldenburg,2.22,27.63,72.37,199.0,165.0,66.0,51.0,28.0,15.0,328.0,859.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,67.0,4.75,2.75,759.0,37195116.0,4740,14,13,122,110,34,4753,0.0,0.0,0.0,6.0,8,951.0466155638928,1099.245208219173,1210.7124646540162,1750.871442618863,1155.758837756888,20.7923069078,0.0,191.4168100202,256.8267102827,0.0,475.3545356289
2015,2895,Waldenburg,2.21,29.04,70.96,187.0,168.0,64.0,44.0,29.0,14.0,343.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,4.75,2.75,758.0,35681346.0,4741,2,7,87,122,37,4701,0.0,0.0,0.0,9.0,6,0.0,1090.5103288249263,1165.3947341928526,1765.1338537224035,1202.621131288579,0.0,0.0,244.8992666824,148.4724745693,24.496499001,430.8333785467
2016,2895,Waldenburg,2.2,29.95,70.05,192.0,177.0,65.0,47.0,28.0,13.0,351.0,821.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,69.5,4.75,2.75,751.0,36473856.0,4675,8,9,131,101,30,4704,0.0,0.0,0.0,10.0,10,0.0,1090.5103288249263,1165.3947341928526,1765.1338537224035,1202.621131288579,0.0,0.0,244.8992666824,148.4724745693,24.496499001,430.8333785467
2017,2895,Waldenburg,2.15,30.04,69.96,197.0,172.0,60.0,39.0,27.0,14.0,350.0,815.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5,4.75,2.75,733.0,36028458.0,4685,14,9,98,149,51,4639,0.0,0.0,0.0,5.0,8,0.0,1090.5103288249263,1165.3947341928526,1765.1338537224035,1202.621131288579,0.0,0.0,244.8992666824,148.4724745693,24.496499001,430.8333785467
2018,2895,Waldenburg,2.09,29.96,70.04,199.0,167.0,67.0,40.0,21.0,9.0,334.0,781.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5,4.75,2.75,701.0,34989228.0,4490,11,11,102,160,58,4432,0.0,0.0,0.0,9.0,7,0.0,1090.5103288249263,1165.3947341928526,1765.1338537224035,1202.621131288579,0.0,0.0,244.8992666824,148.4724745693,24.496499001,430.8333785467
2019,2895,Waldenburg,2.1,30.21,69.79,201.0,177.0,62.0,42.0,20.0,11.0,332.0,767.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,69.5,4.75,2.75,715.0,35420765.0,4377,11,9,128,97,31,4410,0.0,0.0,0.0,5.0,7,0.0,1090.5103288249263,1165.3947341928526,1765.1338537224035,1202.621131288579,0.0,0.0,244.8992666824,148.4724745693,24.496499001,430.8333785467
2020,2895,Waldenburg,2.1,30.69,69.31,205.0,186.0,59.0,41.0,25.0,10.0,349.0,788.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5,4.75,0.55,725.0,36677839.0,4540,11,8,119,110,45,4552,0.0,0.0,0.0,11.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2895,Waldenburg,2.05,31.23,68.77,225.0,178.0,55.0,42.0,23.0,11.0,351.0,773.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,69.5,4.75,0.55,740.0,36554928.0,4497,6,16,110,100,22,4497,0.0,0.0,0.0,14.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,2895,Waldenburg,2.04,31.43,68.57,212.0,190.0,53.0,36.0,22.0,11.0,353.0,770.0,4.0,3.0,2300.0,389.0,20.0,0.0,0.0,69.5,4.75,0.55,721.0,35829406.0,4495,8,11,131,141,18,4482,4.0,8200.0,261.0,11.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,2895,Waldenburg,2.01,32.37,67.63,225.0,192.0,57.0,32.0,24.0,9.0,368.0,769.0,4.0,0.0,0.0,0.0,13.0,52.0,52.0,69.5,0.0,0.0,0.0,0.0,4527,10,16,170,127,43,4564,0.0,0.0,0.0,14.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,2895,Waldenburg,1.99,33.48,66.52,241.0,185.0,58.0,35.0,22.0,10.0,389.0,773.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,69.5,0.0,0.0,0.0,0.0,4652,6,9,142,146,36,4645,0.0,0.0,0.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2895,Waldenburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,72.0,0.0,0.0,0.0,0.0,3436,6,9,123,113,42,3443,0.0,0.0,0.0,2.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
