periode,raum,bezirk_code,bezirk_text,gemeinde_code,gemeinde_text,bewohnertyp_code,bewohnertyp_text,beobachtungen,schatzwert,schatzbereich_von,schatzbereich_bis,vi_absolut,vi_prozent,genauigkeit
2010/2014,BL,1304,Bezirk Sissach,2857,Rickenbach (BL),4,Hauseigentümer/innen,35.0,125.4278642469,88.1536324201275,162.702096073673,37.2742318267725,29.7176644524534,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2857,Rickenbach (BL),5,andere Situation/unbekannt,7.0,19.1587142066,6.53741778663298,31.780010626567,12.621296419967,65.8775755192335,Schätzwert bedingt zuverlässig
2010/2014,BL,1305,Bezirk Waldenburg,2892,Oberdorf (BL),1,Mieter/innen oder Untermieter/innen,72.0,316.7810743197,249.497426548482,384.064722090918,67.2836477712183,21.2397940488436,Schätzwert zuverlässig
2010/2014,BL,1305,Bezirk Waldenburg,2892,Oberdorf (BL),2,Genossenschafter/innen,,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1305,Bezirk Waldenburg,2892,Oberdorf (BL),3,Stockwerk-/Wohnungseigentümer/innen,12.0,55.3017240959,26.3754878400194,84.2279603517806,28.9262362558806,52.3062105726016,Schätzwert bedingt zuverlässig
2010/2014,BL,1305,Bezirk Waldenburg,2892,Oberdorf (BL),4,Hauseigentümer/innen,140.0,476.6877162722,404.352610767158,549.022821777242,72.3351055050424,15.1745268518179,Schätzwert zuverlässig
2010/2014,BL,1305,Bezirk Waldenburg,2892,Oberdorf (BL),5,andere Situation/unbekannt,10.0,34.5956427565,12.8878192721887,56.3034662408113,21.7078234843113,62.7472761153795,Schätzwert bedingt zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2764,Biel-Benken,Total,Total,427.0,1560.9783506988,1422.90658013033,1699.05012126727,138.071770568465,8.84520727059765,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2764,Biel-Benken,1,Mieter/innen oder Untermieter/innen,94.0,443.160145554,359.281115945072,527.039175162928,83.8790296089282,18.9274758685869,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2764,Biel-Benken,2,Genossenschafter/innen,,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1301,Bezirk Arlesheim,2764,Biel-Benken,3,Stockwerk-/Wohnungseigentümer/innen,40.0,152.6847012574,108.842203023675,196.527199491125,43.8424982337246,28.7144015560627,Schätzwert bedingt zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2764,Biel-Benken,4,Hauseigentümer/innen,281.0,912.582644398,815.440425168642,1009.72486362736,97.1422192293584,10.6447585679695,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2764,Biel-Benken,5,andere Situation/unbekannt,11.0,45.2475648423,19.9111450984572,70.5839845861428,25.3364197438428,55.9951012438947,Schätzwert bedingt zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2764,Biel-Benken,Total,Total,371.0,1326.9899667893,1202.94497530398,1451.03495827462,124.044991485318,9.34784697622462,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2764,Biel-Benken,1,Mieter/innen oder Untermieter/innen,73.0,307.6548518412,242.147269230584,373.162434451816,65.5075826106156,21.292556323613,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2764,Biel-Benken,2,Genossenschafter/innen,,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1301,Bezirk Arlesheim,2764,Biel-Benken,3,Stockwerk-/Wohnungseigentümer/innen,35.0,136.6589236571,94.9100379262333,178.407809387967,41.7488857308667,30.5496959976222,Schätzwert bedingt zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2764,Biel-Benken,4,Hauseigentümer/innen,249.0,833.1045575414,739.023269530688,927.185845552112,94.0812880107118,11.2928547994453,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2764,Biel-Benken,5,andere Situation/unbekannt,13.0,46.6938580377,23.0155499777471,70.3721660976529,23.6783080599529,50.7096844318055,Schätzwert bedingt zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2761,Aesch (BL),Total,Total,1187.0,4582.4128050129,4340.6109670813,4824.2146429445,241.801837931599,5.27673625708888,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2761,Aesch (BL),1,Mieter/innen oder Untermieter/innen,598.0,2578.942246152,2386.44565426711,2771.43883803689,192.496591884888,7.46416838810985,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2761,Aesch (BL),2,Genossenschafter/innen,,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1301,Bezirk Arlesheim,2761,Aesch (BL),3,Stockwerk-/Wohnungseigentümer/innen,144.0,544.35232457,462.322349785363,626.382299354637,82.0299747846373,15.0692797811482,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2761,Aesch (BL),4,Hauseigentümer/innen,418.0,1352.866639011,1233.98989620491,1471.74338181709,118.876742806088,8.78702596236626,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2761,Aesch (BL),5,andere Situation/unbekannt,24.0,92.8402742828,54.5133805618113,131.167168003789,38.3268937209887,41.2826157797008,Schätzwert bedingt zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2761,Aesch (BL),Total,Total,1161.0,4482.5066198348,4245.8175508453,4719.1956888243,236.689068989496,5.2802837578011,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2761,Aesch (BL),1,Mieter/innen oder Untermieter/innen,555.0,2366.0702269903,2184.72817172055,2547.41228226005,181.342055269751,7.66427188851543,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2761,Aesch (BL),2,Genossenschafter/innen,10.0,43.2916761572,17.4369374212018,69.1464148931982,25.8547387359982,59.7221938049127,Schätzwert bedingt zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2761,Aesch (BL),3,Stockwerk-/Wohnungseigentümer/innen,119.0,484.3123175622,403.791871778143,564.832763346257,80.5204457840572,16.6257274209665,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2761,Aesch (BL),4,Hauseigentümer/innen,436.0,1461.6278347419,1335.9386383242,1587.3170311596,125.689196417695,8.59926127774447,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2761,Aesch (BL),5,andere Situation/unbekannt,41.0,127.2045643832,91.4748410991098,162.93428766729,35.7297232840902,28.0883971871131,Schätzwert bedingt zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2773,Reinach (BL),Total,Total,2086.0,8141.4205599523,7819.90426347187,8462.93685643273,321.516296480428,3.9491424636871,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2773,Reinach (BL),1,Mieter/innen oder Untermieter/innen,888.0,3962.045638421,3719.2627704865,4204.8285063555,242.7828679345,6.12771507678181,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2773,Reinach (BL),2,Genossenschafter/innen,49.0,183.1053729112,134.108379132067,232.102366690333,48.9969937791328,26.7589055417258,Schätzwert bedingt zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2773,Reinach (BL),3,Stockwerk-/Wohnungseigentümer/innen,291.0,1149.8829353773,1026.74150297001,1273.02436778459,123.141432407293,10.7090407743887,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2773,Reinach (BL),4,Hauseigentümer/innen,820.0,2713.8473314861,2543.1313442694,2884.5633187028,170.715987216697,6.29055235480817,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2773,Reinach (BL),5,andere Situation/unbekannt,38.0,132.5392817567,94.2534599879287,170.825103525471,38.2858217687713,28.8863959886639,Schätzwert bedingt zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2773,Reinach (BL),Total,Total,2152.0,8423.1331749347,8099.5288599162,8746.7374899532,323.604315018502,3.84185205549728,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2773,Reinach (BL),1,Mieter/innen oder Untermieter/innen,952.0,4211.1800901429,3964.9073034352,4457.4528768506,246.272786707703,5.84807064613914,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2773,Reinach (BL),2,Genossenschafter/innen,45.0,176.6834556866,129.07257976715,224.29433160605,47.6108759194497,26.9469915756581,Schätzwert bedingt zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2773,Reinach (BL),3,Stockwerk-/Wohnungseigentümer/innen,276.0,1090.5382537946,971.676242679045,1209.40026491016,118.862011115555,10.8993894255398,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2773,Reinach (BL),4,Hauseigentümer/innen,821.0,2762.2960515003,2589.95172380046,2934.64037920014,172.344327699837,6.2391693173594,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2773,Reinach (BL),5,andere Situation/unbekannt,58.0,182.4353238103,138.032093779494,226.838553841106,44.4032300308062,24.3391625609619,Schätzwert zuverlässig
