jahr,bfs_nummer,gemeinde,indikator,wert
2020,2770,Muttenz,Anzahl_Steuerpflichtige,11107.0
2020,2772,Pfeffingen,Anzahl_Steuerpflichtige,1377.0
2020,2774,Schönenbuch,Anzahl_Steuerpflichtige,871.0
2020,2775,Therwil,Anzahl_Steuerpflichtige,6224.0
2020,2785,Duggingen,Anzahl_Steuerpflichtige,939.0
2020,2786,Grellingen,Anzahl_Steuerpflichtige,1179.0
2020,2791,Röschenz,Anzahl_Steuerpflichtige,1171.0
2020,2827,Hersberg,Anzahl_Steuerpflichtige,220.0
2020,2828,Lausen,Anzahl_Steuerpflichtige,3289.0
2020,2830,Lupsingen,Anzahl_Steuerpflichtige,849.0
2020,2831,Pratteln,Anzahl_Steuerpflichtige,10087.0
2020,2842,Böckten,Anzahl_Steuerpflichtige,476.0
2020,2846,Gelterkinden,Anzahl_Steuerpflichtige,3835.0
2020,2847,Häfelfingen,Anzahl_Steuerpflichtige,160.0
2020,2858,Rothenfluh,Anzahl_Steuerpflichtige,472.0
2020,2859,Rümlingen,Anzahl_Steuerpflichtige,241.0
2020,2866,Wintersingen,Anzahl_Steuerpflichtige,414.0
2020,2881,Arboldswil,Anzahl_Steuerpflichtige,347.0
2020,2882,Bennwil,Anzahl_Steuerpflichtige,382.0
2020,2883,Bretzwil,Anzahl_Steuerpflichtige,457.0
2020,2885,Eptingen,Anzahl_Steuerpflichtige,335.0
2019,2762,Allschwil,Anzahl_Steuerpflichtige,13177.0
2019,2763,Arlesheim,Anzahl_Steuerpflichtige,5898.0
2019,2765,Binningen,Anzahl_Steuerpflichtige,9849.0
2019,2766,Birsfelden,Anzahl_Steuerpflichtige,6655.0
2019,2767,Bottmingen,Anzahl_Steuerpflichtige,4042.0
2019,2768,Ettingen,Anzahl_Steuerpflichtige,3295.0
2019,2769,Münchenstein,Anzahl_Steuerpflichtige,7718.0
2019,2770,Muttenz,Anzahl_Steuerpflichtige,11078.0
2019,2772,Pfeffingen,Anzahl_Steuerpflichtige,1377.0
2019,2774,Schönenbuch,Anzahl_Steuerpflichtige,850.0
2019,2775,Therwil,Anzahl_Steuerpflichtige,6125.0
2019,2781,Blauen,Anzahl_Steuerpflichtige,445.0
2019,2782,Brislach,Anzahl_Steuerpflichtige,1030.0
2019,2784,Dittingen,Anzahl_Steuerpflichtige,471.0
2019,2785,Duggingen,Anzahl_Steuerpflichtige,937.0
2019,2786,Grellingen,Anzahl_Steuerpflichtige,1174.0
2019,2787,Laufen,Anzahl_Steuerpflichtige,3697.0
2019,2788,Liesberg,Anzahl_Steuerpflichtige,758.0
2019,2789,Nenzlingen,Anzahl_Steuerpflichtige,279.0
2019,2790,Roggenburg,Anzahl_Steuerpflichtige,202.0
2019,2791,Röschenz,Anzahl_Steuerpflichtige,1161.0
2019,2792,Wahlen,Anzahl_Steuerpflichtige,944.0
2019,2821,Arisdorf,Anzahl_Steuerpflichtige,1019.0
2019,2822,Augst,Anzahl_Steuerpflichtige,667.0
2019,2823,Bubendorf,Anzahl_Steuerpflichtige,2611.0
2019,2824,Frenkendorf,Anzahl_Steuerpflichtige,3806.0
2019,2825,Füllinsdorf,Anzahl_Steuerpflichtige,2778.0
2019,2826,Giebenach,Anzahl_Steuerpflichtige,625.0
2019,2827,Hersberg,Anzahl_Steuerpflichtige,207.0
2019,2828,Lausen,Anzahl_Steuerpflichtige,3162.0
2019,2829,Liestal,Anzahl_Steuerpflichtige,9011.0
2019,2830,Lupsingen,Anzahl_Steuerpflichtige,847.0
2019,2831,Pratteln,Anzahl_Steuerpflichtige,10056.0
2019,2832,Ramlinsburg,Anzahl_Steuerpflichtige,452.0
2019,2833,Seltisberg,Anzahl_Steuerpflichtige,782.0
2019,2841,Anwil,Anzahl_Steuerpflichtige,339.0
2019,2842,Böckten,Anzahl_Steuerpflichtige,477.0
2019,2843,Buckten,Anzahl_Steuerpflichtige,411.0
2019,2844,Buus,Anzahl_Steuerpflichtige,661.0
2019,2845,Diepflingen,Anzahl_Steuerpflichtige,453.0
2019,2846,Gelterkinden,Anzahl_Steuerpflichtige,3895.0
2019,2847,Häfelfingen,Anzahl_Steuerpflichtige,155.0
2019,2848,Hemmiken,Anzahl_Steuerpflichtige,182.0
2019,2849,Itingen,Anzahl_Steuerpflichtige,1223.0
2019,2850,Känerkinden,Anzahl_Steuerpflichtige,339.0
2019,2852,Läufelfingen,Anzahl_Steuerpflichtige,789.0
2019,2853,Maisprach,Anzahl_Steuerpflichtige,621.0
2019,2854,Nusshof,Anzahl_Steuerpflichtige,153.0
2019,2855,Oltingen,Anzahl_Steuerpflichtige,292.0
2019,2856,Ormalingen,Anzahl_Steuerpflichtige,1403.0
2019,2858,Rothenfluh,Anzahl_Steuerpflichtige,472.0
2019,2859,Rümlingen,Anzahl_Steuerpflichtige,238.0
2019,2860,Rünenberg,Anzahl_Steuerpflichtige,487.0
2019,2861,Sissach,Anzahl_Steuerpflichtige,4160.0
2019,2862,Tecknau,Anzahl_Steuerpflichtige,474.0
2019,2863,Tenniken,Anzahl_Steuerpflichtige,548.0
2019,2864,Thürnen,Anzahl_Steuerpflichtige,832.0
2019,2865,Wenslingen,Anzahl_Steuerpflichtige,428.0
2019,2866,Wintersingen,Anzahl_Steuerpflichtige,392.0
2019,2867,Wittinsburg,Anzahl_Steuerpflichtige,244.0
2019,2881,Arboldswil,Anzahl_Steuerpflichtige,358.0
